Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
Coty Clarke,3,0,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.0,0.0,0.7,6,1,0,0,0,2,50.0,-,100.0,75.0,108,96,0.0,-9.5,23.9,0.0
Jordan Clarkson,1,1,0,0,0,0,0,0,0,0,335,14.4,3.2,2.7,0.1,0.9,1.3,4839,1085,907,38,307,437,44.4,81.1,33.8,49.6,114,104,0.7,-1.7,15.2,9.6
Gian Clavell,2,0,0,0,0,0,0,0,0,0,7,2.9,1.0,0.4,0.0,0.3,0.9,20,7,3,0,2,6,33.3,100.0,40.0,50.0,111,102,0.0,-3.6,7.4,0.1
Victor Claver,3,0,0,0,0,0,0,0,0,0,80,3.2,2.2,0.7,0.2,0.4,0.4,258,178,56,16,30,34,39.8,58.5,29.3,46.6,109,92,-0.4,-3.3,7.5,0.2
John Clawson,3,0,0,0,0,0,0,0,0,0,70,4.7,2.8,0.7,-,-,0.0,331,195,51,-,-,0,47.6,68.5,-,47.6,-,-,-,-,7.0,1.3
Charles Claxton,5,0,0,0,0,0,0,0,0,0,3,0.7,0.7,0.0,0.3,0.0,0.0,2,2,0,1,0,0,50.0,0.0,-,50.0,110,72,0.0,-11.1,0.2,0.0
Speedy Claxton,1,0,0,0,0,0,0,0,0,0,334,9.3,2.5,4.3,0.1,1.5,0.1,3096,830,1441,40,503,42,40.9,76.2,19.3,41.7,105,101,2.8,-0.7,14.5,14.2
Jim Cleamons,1,0,0,0,0,1,0,0,0,0,652,8.3,3.0,3.9,0.2,1.0,0.1,5412,1981,2531,120,533,7,46.0,76.5,22.6,46.1,103,105,8.0,0.1,12.6,29.1
Mateen Cleaves,1,0,0,0,0,0,0,0,0,0,167,3.6,1.0,1.9,0.0,0.4,0.1,609,175,310,5,67,12,38.9,72.8,26.7,39.9,106,87,-2.0,-6.3,8.5,-0.8
Barry Clemens,3,0,0,0,0,0,0,0,0,0,790,6.7,3.2,1.1,0.1,0.7,-,5312,2532,905,11,131,-,45.4,75.6,-,-,97,,0.0,-1.9,12.4,18.6
Antonius Cleveland,2,0,0,0,0,0,0,0,0,0,17,1.4,0.8,0.1,0.3,0.4,0.2,23,14,2,5,7,3,38.1,66.7,75.0,45.2,107,78,-0.1,-4.5,4.5,0.0
Nat Clifton,4,0,1,1,0,0,0,0,0,0,544,10.0,8.2,2.5,-,-,-,5444,4469,1367,-,-,-,36.1,63.3,-,-,-,-,-,-,14.2,15.0
Bill Closs,3,0,0,0,0,0,0,0,0,0,186,9.0,5.0,1.9,-,-,-,1669,605,346,-,-,-,31.5,71.8,-,-,-,-,-,-,10.4,7.1
Keith Closs,5,0,0,0,0,0,0,0,0,0,130,3.9,2.9,0.3,1.3,0.2,0.0,502,372,44,163,28,0,47.1,60.6,0.0,47.1,108,101,-0.5,-3.1,14.2,1.9
Paul Cloyd,2,0,0,0,0,0,0,0,0,0,7,2.7,-,0.3,-,-,-,19,,2,-,-,-,26.9,62.5,-,-,-,-,-,-,-,-0.1
Bob Cluggish,5,0,0,0,0,0,0,0,0,0,54,4.4,-,0.4,-,-,-,238,,22,-,-,-,26.1,57.1,-,-,-,-,-,-,-,1.1
Ben Clyde,3,0,0,0,0,0,0,0,0,0,25,2.8,1.6,0.2,0.1,0.2,-,69,41,5,3,5,-,43.1,77.8,-,-,94,,-0.2,-5.9,11.3,0.2
Richard Coffey,3,0,0,0,0,0,0,0,0,0,52,1.3,1.5,0.1,0.1,0.1,0.0,68,79,3,4,6,0,37.3,54.5,0.0,37.3,113,104,-0.4,-7.3,7.9,0.2
Fred Cofield,1,0,0,0,0,0,0,0,0,0,50,3.4,1.0,1.7,0.1,0.4,0.1,169,51,86,3,22,3,39.5,60.0,18.8,40.3,106,83,-0.5,-5.9,7.7,-0.5
John Coker,5,0,0,0,0,0,0,0,0,0,25,1.6,1.2,0.1,0.1,0.1,0.0,41,29,3,3,2,0,40.9,83.3,-,40.9,107,95,-0.3,-9.0,8.9,0.1
Norris Cole,1,0,0,0,0,0,0,0,0,0,360,7.0,2.0,2.7,0.1,0.8,0.6,2506,702,981,34,280,207,40.7,74.3,32.4,44.9,108,94,-4.0,-4.0,9.2,3.0
Ben Coleman,5,0,0,0,0,0,0,0,0,0,227,6.6,4.1,0.6,0.4,0.4,0.0,1494,928,128,99,94,0,51.6,75.9,0.0,51.6,109,104,-1.1,-3.2,12.3,5.0
Derrick Coleman,5,0,0,1,2,0,0,0,0,0,781,16.5,9.3,2.5,1.3,0.8,0.4,12884,7232,1985,1051,606,326,44.7,76.9,29.5,46.2,103,105,21.7,1.3,18.0,64.3
E.C. Coleman,4,0,0,0,0,2,0,0,0,0,357,7.2,6.0,1.3,0.4,0.9,-,2553,2151,472,142,305,-,46.4,69.4,-,-,99,97,1.0,-1.6,10.0,12.8
Jack Coleman,4,0,0,1,0,0,0,0,0,0,633,10.6,9.2,2.8,-,-,-,6721,5186,1749,-,-,-,41.6,69.5,-,-,-,-,-,-,15.7,47.7
Norris Coleman,3,0,0,0,0,0,0,0,0,0,29,5.3,2.8,0.4,0.2,0.4,0.0,153,81,13,6,11,1,34.6,55.6,50.0,34.8,110,84,-0.7,-8.3,6.6,-0.4
Bimbo Coles,1,0,0,0,0,0,0,0,0,0,852,7.8,2.1,3.9,0.2,0.9,0.3,6628,1820,3313,134,735,252,42.5,81.1,26.7,44.7,110,105,-0.7,-2.1,12.1,27.4
Jason Collier,5,0,0,0,0,0,0,0,0,0,151,5.6,2.9,0.3,0.2,0.2,0.0,841,443,51,32,36,7,45.5,73.8,35.0,46.0,110,100,-2.3,-6.3,11.7,1.9
Art Collins,2,0,0,0,0,0,0,0,0,0,29,3.2,1.4,0.9,0.0,0.4,0.0,94,41,25,1,11,0,35.4,66.7,0.0,35.4,111,81,-0.4,-6.3,4.3,-0.4
Don Collins,2,0,0,0,0,0,0,0,0,0,303,9.8,2.8,1.8,0.3,1.1,0.0,2983,837,546,98,332,2,48.5,74.9,6.9,48.5,104,101,3.7,0.4,14.5,10.5
Doug Collins,2,0,0,4,0,0,0,0,0,0,415,17.9,3.2,3.3,0.3,1.2,0.0,7427,1339,1368,114,518,0,50.1,83.3,0.0,50.1,102,107,8.5,0.4,16.1,38.0
James Collins,2,0,0,0,0,0,0,0,0,0,23,2.6,0.6,0.1,0.1,0.3,0.4,59,14,3,3,6,9,38.2,57.1,45.0,46.4,110,95,-0.1,-5.2,15.3,0.0
Jarron Collins,5,0,0,0,0,0,0,0,0,0,542,3.9,2.9,0.8,0.2,0.3,0.0,2095,1579,419,98,138,0,45.5,69.9,0.0,45.5,109,112,0.5,-1.8,9.4,15.7
Jason Collins,4,0,0,0,0,0,0,0,0,0,735,3.6,3.7,0.9,0.5,0.5,0.0,2621,2706,626,359,368,7,41.1,64.7,20.6,41.2,103,97,0.2,-2.0,7.0,20.1
Jimmy Collins,2,0,0,0,0,0,0,0,0,0,74,3.8,0.9,0.9,-,-,-,281,66,70,-,-,-,41.4,80.4,-,-,-,-,-,-,12.2,0.6
John Collins,4,1,0,0,0,0,0,0,0,0,91,12.0,7.8,1.5,1.0,0.5,0.3,1094,711,138,90,48,26,57.8,71.0,30.2,59.5,109,117,2.0,1.4,18.9,6.6
Mardy Collins,2,0,0,0,0,0,0,0,0,0,189,3.9,1.8,1.7,0.1,0.6,0.2,742,336,327,22,110,38,38.0,59.9,29.9,40.5,111,88,-2.0,-4.9,7.9,-1.6
Sherron Collins,1,0,0,0,0,0,0,0,0,0,20,0.9,0.3,0.4,0.0,0.1,0.1,17,5,8,0,2,2,28.0,100.0,20.0,32.0,111,73,-0.1,-10.2,3.6,-0.2
Zach Collins,5,1,0,0,0,0,0,0,0,0,100,5.5,3.7,0.8,0.6,0.3,0.5,549,367,82,61,28,54,43.9,76.5,31.4,49.6,108,101,0.0,-1.9,10.0,2.0
Kyle Collinsworth,3,0,0,0,0,0,0,0,0,0,32,3.2,3.3,1.8,0.3,0.5,0.1,101,107,56,9,17,4,38.4,52.5,23.5,40.4,108,98,0.0,-1.8,10.0,0.5
Darren Collison,1,1,0,0,0,0,0,0,0,0,667,12.5,2.6,4.9,0.2,1.1,0.9,8316,1755,3278,103,758,587,47.0,85.1,39.1,51.5,110,112,9.9,0.0,16.0,45.6
Nick Collison,4,0,0,0,0,0,0,0,0,0,910,5.9,5.2,1.0,0.5,0.5,0.0,5359,4701,939,469,446,21,53.4,72.3,20.8,53.6,107,115,11.3,0.4,13.2,44.5
Joe Colone,4,0,0,0,0,0,0,0,0,0,15,5.5,-,0.6,-,-,-,83,,9,-,-,-,31.0,68.4,-,-,-,-,-,-,-,0.1
Sean Colson,1,0,0,0,0,0,0,0,0,0,13,1.2,0.5,0.8,0.0,0.1,0.1,15,6,10,0,1,1,25.0,50.0,20.0,27.1,107,80,0.0,-6.3,6.8,-0.1
Steve Colter,1,0,0,0,0,0,0,0,0,0,526,6.3,2.0,2.8,0.1,0.9,0.1,3319,1051,1482,76,463,76,44.8,77.8,28.9,46.1,109,108,2.0,-1.2,12.9,17.3
Glen Combs,1,0,0,3,0,0,0,0,0,0,465,16.5,2.6,3.5,0.1,0.6,1.1,7666,1230,1639,13,56,503,43.3,81.0,36.7,47.4,111,104,-0.4,-2.8,14.2,34.3
Leroy Combs,3,0,0,0,0,0,0,0,0,0,48,4.5,1.2,0.8,0.4,0.5,0.0,218,56,38,18,23,0,49.7,61.5,0.0,49.7,106,96,-0.1,-3.3,13.5,0.4
John Comeaux,4,0,0,0,0,0,0,0,0,0,23,3.3,1.2,0.5,-,-,0.0,77,28,11,-,-,0,42.9,71.9,-,42.9,-,-,-,-,10.3,0.4
Dallas Comegys,4,0,0,0,0,0,0,0,0,0,142,6.0,3.2,0.7,0.9,0.5,0.0,856,452,95,133,78,0,45.7,68.2,0.0,45.7,107,94,-1.0,-3.8,10.7,1.1
Larry Comley,1,0,0,0,0,0,0,0,0,0,12,2.1,1.6,1.0,-,-,-,25,19,12,-,-,-,21.6,56.3,-,-,-,-,-,-,5.6,-0.3
Jeffrey Congdon,1,0,0,0,0,0,0,0,0,0,306,6.5,2.0,3.3,,-,0.3,1995,601,1002,,-,102,37.7,79.9,28.5,40.2,-,-,-,-,8.6,6.3
Gene Conley,4,0,0,0,0,0,0,0,0,0,351,5.9,6.3,0.6,-,-,-,2069,2212,201,-,-,-,37.1,65.7,-,-,-,-,-,-,10.2,5.1
Larry Conley,2,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,-,-,0.0,2,0,0,-,-,0,25.0,-,-,25.0,-,-,-,-,-11.4,0.0
Mike Conley,1,1,0,0,0,1,0,0,0,0,751,14.5,2.9,5.7,0.2,1.5,1.3,10926,2199,4276,155,1108,1006,44.0,81.6,37.6,49.7,107,111,23.9,1.9,17.5,66.9
Ed Conlin,3,0,0,0,0,0,0,0,0,0,486,10.1,4.8,2.0,-,-,-,4891,2349,949,-,-,-,37.0,75.0,-,-,-,-,-,-,13.0,14.2
Marty Conlon,5,0,0,0,0,0,0,0,0,0,379,6.5,3.5,1.0,0.2,0.4,0.0,2454,1310,378,73,148,15,49.8,73.5,20.0,50.2,112,107,-1.0,-2.7,13.2,8.9
Pat Connaughton,2,1,0,0,0,0,0,0,0,0,179,4.0,1.9,1.0,0.2,0.2,0.7,723,339,177,39,44,120,41.8,80.8,34.5,51.1,110,110,0.5,-1.3,10.2,4.2
Jimmy Conner,2,0,0,0,0,0,0,0,0,0,24,4.4,1.2,1.6,0.2,0.5,0.0,106,28,38,5,11,0,48.8,75.9,0.0,48.8,104,96,0.0,-2.5,12.2,0.3
Lester Conner,2,0,0,0,0,0,0,0,0,0,687,6.3,2.7,3.9,0.1,1.6,0.0,4337,1861,2669,64,1085,22,45.3,75.3,20.2,45.6,108,109,10.5,0.8,14.1,28.6
Chuck Connors,4,0,0,0,0,0,0,0,0,0,53,4.5,-,0.8,-,-,-,239,,41,-,-,-,25.2,47.1,-,-,-,-,-,-,-,-0.3
Will Conroy,1,0,0,0,0,0,0,0,0,0,16,0.4,0.7,1.0,0.0,0.0,0.0,7,11,16,0,0,0,13.6,12.5,0.0,13.6,114,55,-0.3,-12.8,-3.1,-0.4
Anthony Cook,4,0,0,0,0,0,0,0,0,0,116,3.6,3.7,0.3,0.8,0.4,0.0,418,428,34,91,43,0,43.9,52.4,0.0,43.9,112,100,-0.8,-4.2,11.0,1.0
Bert Cook,2,0,0,0,0,0,0,0,0,0,37,3.2,1.9,0.9,-,-,-,118,72,33,-,-,-,31.6,68.0,-,-,-,-,-,-,8.5,0.0
Bobby Cook,2,0,0,0,0,0,0,0,0,0,51,11.5,-,3.1,-,-,-,587,,158,-,-,-,35.8,79.0,-,-,-,-,-,-,-,1.9
Brian Cook,4,0,0,0,0,0,0,0,0,0,421,5.5,2.6,0.6,0.3,0.3,0.6,2312,1115,252,134,135,262,43.9,78.3,38.2,50.2,107,105,-0.6,-2.4,13.1,10.2
Daequan Cook,2,0,0,0,0,0,0,0,0,0,328,6.4,2.1,0.7,0.1,0.4,1.3,2114,703,243,48,120,442,36.9,81.3,35.9,47.6,110,100,-2.4,-3.6,9.1,4.9
Darwin Cook,2,0,0,0,0,0,0,0,0,0,612,9.5,2.1,3.7,0.3,1.7,0.1,5820,1308,2248,203,1044,55,45.3,76.4,19.6,45.8,104,100,6.6,-0.1,13.8,22.9
Jeff Cook,5,0,0,0,0,0,0,0,0,0,518,5.3,4.5,1.4,0.4,0.6,0.0,2734,2334,707,215,306,1,46.2,71.6,5.6,46.2,104,104,4.2,-0.3,10.9,17.7
Norm Cook,3,0,0,0,0,0,0,0,0,0,27,2.4,1.1,0.2,0.1,0.4,-,65,30,6,3,10,-,37.3,52.9,-,-,95,101,-0.2,-6.5,9.8,-0.1
Omar Cook,1,0,0,0,0,0,0,0,0,0,22,1.7,0.6,2.1,0.0,0.7,0.0,37,13,46,1,16,0,33.3,50.0,0.0,33.3,105,85,-0.2,-6.1,9.0,-0.1
Quinn Cook,1,1,0,0,0,0,0,0,0,0,77,8.2,2.1,2.2,0.0,0.4,1.2,629,159,169,3,27,94,48.0,78.7,43.5,57.0,113,112,-0.3,-2.8,13.0,2.6
Charles Cooke,2,0,0,0,0,0,0,0,0,0,13,0.5,0.2,0.1,0.0,0.1,0.1,6,2,1,0,1,1,14.3,50.0,12.5,17.9,113,45,-0.1,-14.6,-5.1,-0.2
David Cooke,4,0,0,0,0,0,0,0,0,0,6,1.5,1.7,0.2,0.0,0.7,0.0,9,10,1,0,4,0,18.2,50.0,-,18.2,102,76,0.0,-5.6,6.7,0.0
Joe Cooke,2,0,0,0,0,0,0,0,0,0,73,4.3,1.6,1.3,-,-,-,316,114,93,-,-,-,39.3,81.4,-,-,-,-,-,-,10.4,-0.4
Jack Cooley,4,0,0,0,0,0,0,0,0,0,23,2.9,2.4,0.3,0.1,0.3,0.0,67,55,7,3,7,0,44.9,57.5,-,44.9,106,113,0.0,-2.8,15.6,0.5
Chuck Cooper,4,0,0,0,0,0,0,0,0,0,409,6.7,5.9,1.8,-,-,-,2725,2431,734,-,-,-,33.9,74.3,-,-,-,-,-,-,11.0,11.6
Duane Cooper,1,0,0,0,0,0,0,0,0,0,88,2.3,0.7,2.0,0.0,0.2,0.1,204,59,178,2,21,8,40.2,72.0,21.6,42.2,113,89,-1.3,-8.6,7.7,-0.5
Joe Cooper,5,0,0,0,0,0,0,0,0,0,24,4.5,4.0,0.8,0.9,0.5,0.0,109,97,19,21,11,0,50.6,54.3,-,50.6,107,96,0.0,-2.0,10.5,0.3
Michael Cooper,2,0,0,0,0,8,0,0,0,0,873,8.9,3.2,4.2,0.6,1.2,0.5,7729,2769,3666,523,1033,428,46.9,83.3,34.0,50.2,107,111,18.2,1.0,12.8,52.5
Wayne Cooper,5,0,0,0,0,0,0,0,0,0,984,7.9,6.2,0.9,1.6,0.3,0.0,7777,6095,852,1535,295,7,45.7,73.6,14.6,45.7,104,103,1.4,-1.7,13.4,36.9
Tom Copa,5,0,0,0,0,0,0,0,0,0,33,1.5,1.1,0.1,0.2,0.1,0.0,48,36,3,6,2,0,55.0,30.8,-,55.0,104,101,-0.1,-4.5,10.7,0.2
Chris Copeland,3,0,0,0,0,0,0,0,0,0,171,5.8,1.6,0.6,0.2,0.2,0.9,998,272,107,30,32,154,42.7,75.2,36.5,51.6,108,102,-0.5,-3.0,12.4,2.9
Hollis Copeland,3,0,0,0,0,0,0,0,0,0,93,5.0,1.7,1.0,0.3,0.7,0.0,464,161,89,27,65,0,48.8,73.9,0.0,48.8,109,101,-0.1,-2.5,10.7,1.3
Lanard Copeland,2,0,0,0,0,0,0,0,0,0,33,2.7,0.5,0.4,0.0,0.1,0.0,90,17,14,1,3,1,41.8,81.3,14.3,42.3,111,83,-0.3,-10.7,8.2,-0.4
Tyrone Corbin,3,0,0,0,0,0,0,0,0,0,1065,9.2,4.7,1.8,0.3,1.2,0.2,9766,5046,1894,270,1228,198,45.6,79.1,29.9,46.8,106,107,19.2,0.8,13.1,56.5
Chris Corchiani,1,0,0,0,0,0,0,0,0,0,112,3.7,1.2,2.2,0.0,0.7,0.2,416,129,243,4,73,21,42.1,81.6,26.9,45.5,109,103,-0.2,-2.6,11.7,1.6
Ken Corley,5,0,0,0,0,0,0,0,0,0,3,0.0,-,0.0,-,-,-,0,,0,-,-,-,-,-,-,-,-,-,-,-,-,0.0
Ray Corley,1,0,0,0,0,0,0,0,0,0,102,4.3,2.0,1.7,-,-,-,442,82,174,-,-,-,30.4,60.1,-,-,-,-,-,-,-6.9,0.9
Dave Corzine,5,0,0,0,0,0,0,0,0,0,891,8.5,5.9,1.7,1.0,0.4,0.0,7615,5262,1477,848,369,10,48.4,74.7,18.9,48.5,107,106,9.3,-0.2,13.6,37.3
Larry Costello,1,0,0,6,1,0,0,0,0,0,706,12.2,3.8,4.6,-,-,-,8622,2705,3215,-,-,-,43.8,84.1,-,-,-,-,-,-,14.5,62.7
Matt Costello,5,0,0,0,0,0,0,0,0,0,4,1.0,2.3,0.5,0.5,0.5,0.0,4,9,2,2,2,0,50.0,-,-,50.0,96,101,0.0,1.6,9.7,0.1
Bryce Cotton,1,0,0,0,0,0,0,0,0,0,23,3.8,0.8,0.8,0.0,0.3,0.3,88,18,18,0,7,7,41.8,83.3,30.4,46.2,109,95,-0.2,-5.9,12.0,0.1
Jack Cotton,4,0,0,0,0,0,0,0,0,0,54,5.1,-,1.2,-,-,-,276,,65,-,-,-,29.2,50.9,-,-,-,-,-,-,-,-1.5
James Cotton,2,0,0,0,0,0,0,0,0,0,19,2.6,0.8,0.0,0.1,0.2,0.0,49,16,0,1,4,0,35.9,77.8,0.0,35.9,104,91,-0.3,-14.7,12.3,0.0
John Coughran,3,0,0,0,0,0,0,0,0,0,24,2.8,0.8,0.5,0.0,0.3,0.1,68,19,12,1,7,2,35.8,57.1,22.2,37.0,107,79,-0.3,-9.1,6.0,-0.3
Mel Counts,4,0,0,0,0,0,0,0,0,0,789,8.3,6.0,1.4,0.5,0.6,-,6516,4756,1100,74,85,-,43.5,76.4,-,-,95,,0.8,-0.5,15.3,27.7
Steve Courtin,2,0,0,0,0,0,0,0,0,0,24,4.2,0.9,0.9,-,-,-,101,22,22,-,-,-,40.8,81.0,-,-,-,-,-,-,6.9,0.2
Joe Courtney,4,0,0,0,0,0,0,0,0,0,96,2.8,1.5,0.3,0.2,0.2,0.0,264,140,27,23,20,2,43.3,63.3,66.7,43.7,109,96,-0.8,-6.3,9.7,0.3
Marcus Cousin,5,0,0,0,0,0,0,0,0,0,4,1.0,0.8,0.0,0.3,0.0,0.0,4,3,0,1,0,0,66.7,-,-,66.7,111,90,0.0,-9.9,7.8,0.0
DeMarcus Cousins,5,0,0,4,2,0,0,0,0,0,535,21.5,11.0,3.2,1.2,1.4,0.6,11518,5884,1725,653,765,316,46.0,73.7,33.8,47.8,103,103,21.4,2.9,22.4,41.6
Bob Cousy,1,0,1,13,12,0,0,8,0,1,924,18.4,5.2,7.5,-,-,-,16960,4786,6955,-,-,-,37.5,80.3,-,-,-,-,-,-,19.8,91.1
Robert Covington,3,1,0,0,0,1,0,0,0,0,323,12.7,5.5,1.5,0.8,1.7,2.3,4095,1789,499,253,536,756,40.1,81.4,36.0,51.3,105,103,7.8,1.2,13.4,17.5
Dave Cowens,5,0,1,8,3,3,0,0,0,1,766,17.6,13.6,3.8,0.9,1.1,0.0,13516,10444,2910,488,599,1,46.0,78.3,7.1,46.0,96,106,26.2,3.2,17.0,86.3
Chubby Cox,2,0,0,0,0,0,0,0,0,0,7,4.1,1.4,0.9,0.1,0.0,0.0,29,10,6,1,0,0,35.1,50.0,0.0,35.1,106,74,-0.2,-9.7,1.6,-0.2
Johnny Cox,2,0,0,0,0,0,0,0,0,0,73,7.8,3.8,1.9,-,-,-,573,280,142,-,-,-,42.1,70.4,-,-,-,-,-,-,10.3,0.5
Wesley Cox,3,0,0,0,0,0,0,0,0,0,74,4.6,2.8,0.3,0.2,0.5,-,342,206,23,15,34,-,41.2,51.0,-,-,99,85,-1.0,-6.9,8.9,0.1
Allen Crabbe,2,1,0,0,0,0,0,0,0,0,329,9.5,2.9,1.2,0.3,0.6,1.7,3133,945,385,95,202,548,43.0,84.4,39.5,53.6,111,110,1.9,-1.0,11.3,13.2
Torrey Craig,3,1,0,0,0,0,0,0,0,0,66,4.5,3.4,0.7,0.4,0.3,0.5,300,225,46,29,23,34,43.1,61.8,28.1,49.4,111,107,0.0,-2.1,9.0,1.5
Chris Crawford,4,0,0,0,0,0,0,0,0,0,252,6.6,2.2,0.6,0.3,0.4,0.3,1654,547,154,80,101,70,43.7,82.4,34.7,46.2,106,103,-0.9,-2.9,12.9,6.5
Freddie Crawford,2,0,0,0,0,0,0,0,0,0,297,6.8,2.5,2.1,-,-,-,2031,746,610,-,-,-,44.6,59.5,-,-,-,-,-,-,11.4,6.1
Jamal Crawford,2,1,0,0,0,0,0,0,0,0,1292,14.8,2.2,3.4,0.2,0.9,1.7,19110,2899,4409,264,1157,2177,41.0,86.2,34.8,47.7,111,105,9.4,-1.0,15.1,60.2
Joe Crawford,3,0,0,0,0,0,0,0,0,0,2,4.5,2.0,0.5,0.0,0.5,0.5,9,4,1,0,1,1,30.0,100.0,25.0,35.0,110,99,0.0,-5.6,10.8,0.0
Jordan Crawford,1,0,0,0,0,0,0,0,0,0,281,12.2,2.5,3.1,0.1,0.7,1.2,3432,703,883,23,196,330,41.1,82.6,31.7,46.4,109,99,-0.2,-2.1,14.1,6.3
Jim Creighton,3,0,0,0,0,0,0,0,0,0,32,1.0,1.4,0.1,0.3,0.1,-,31,45,4,9,2,-,27.9,43.8,-,-,100,,-0.3,-9.9,5.5,-0.2
Ron Crevier,5,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,-,0.0,116,20,0.0,-37.4,-31.7,-0.1
Hal Crisler,4,0,0,0,0,0,0,0,0,0,4,1.5,-,0.0,-,-,-,6,,0,-,-,-,33.3,100.0,-,-,-,-,-,-,-,0.1
Joe Crispin,1,0,0,0,0,0,0,0,0,0,21,3.8,0.5,1.2,0.0,0.2,0.7,79,11,26,0,5,15,38.2,92.3,38.5,49.3,108,111,0.0,-1.6,17.1,0.4
Charlie Criss,1,0,0,0,0,0,0,0,0,0,418,8.5,1.4,3.2,0.1,0.9,0.1,3534,592,1335,21,366,19,43.2,83.1,17.9,43.5,107,103,-1.8,-2.8,12.8,13.7
Russell Critchfield,1,0,0,0,0,0,0,0,0,0,47,3.4,0.6,1.1,-,-,0.0,161,29,54,-,-,0,36.1,65.5,0.0,36.1,-,-,-,-,7.9,0.1
Winston Crite,3,0,0,0,0,0,0,0,0,0,31,2.8,2.1,0.5,0.3,0.2,0.0,87,65,15,8,5,0,47.9,76.0,-,47.9,112,96,-0.2,-4.4,9.1,0.1
Javaris Crittenton,2,0,0,0,0,0,0,0,0,0,113,5.3,2.4,1.8,0.1,0.5,0.1,595,276,201,8,59,12,44.2,63.8,23.1,45.4,114,96,-1.1,-4.3,10.6,0.1
Dillard Crocker,4,0,0,0,0,0,0,0,0,0,154,8.8,2.2,1.3,-,-,-,1352,215,205,-,-,-,31.6,70.6,-,-,-,-,-,-,12.8,1.8
Bobby Croft,5,0,0,0,0,0,0,0,0,0,62,5.2,3.3,0.7,-,-,0.0,325,206,41,-,-,0,36.2,65.2,0.0,36.2,-,-,-,-,9.5,-0.6
Geoff Crompton,5,0,0,0,0,0,0,0,0,0,82,1.2,1.7,0.3,0.3,0.1,0.0,99,139,28,23,10,0,37.0,44.2,-,37.0,103,79,-0.4,-5.1,5.6,-0.1
Terry Crosby,1,0,0,0,0,0,0,0,0,0,4,1.5,0.3,1.8,0.0,0.0,0.0,6,1,7,0,0,0,50.0,100.0,-,50.0,109,81,-0.1,-13.3,3.5,0.0
Austin Croshere,4,0,0,0,0,0,0,0,0,0,659,6.8,4.0,1.0,0.3,0.4,0.7,4475,2649,627,216,245,429,40.7,86.1,34.0,46.6,103,106,4.3,-0.5,14.3,27.6
Jeff Cross,4,0,0,0,0,0,0,0,0,0,21,1.2,1.4,0.0,0.1,0.1,0.0,26,30,1,3,2,0,25.0,56.0,-,25.0,112,82,-0.3,-10.1,1.5,-0.1
Pete Cross,5,0,0,0,0,0,0,0,0,0,182,5.8,8.3,1.0,-,-,-,1057,1519,187,-,-,-,43.1,69.5,-,-,-,-,-,-,12.5,4.2
Russell Cross,5,0,0,0,0,0,0,0,0,0,45,3.7,1.8,0.5,0.2,0.3,0.0,166,82,22,7,12,0,57.1,41.8,-,57.1,109,110,0.0,-1.8,15.3,0.8
Chink Crossin,1,0,0,0,0,0,0,0,0,0,147,4.7,-,1.5,-,-,-,694,,223,-,-,-,31.8,71.1,-,-,-,-,-,-,-,3.7
John Crotty,1,0,0,0,0,0,0,0,0,0,477,4.0,1.1,2.1,0.0,0.4,0.3,1903,502,999,20,181,144,43.1,83.7,38.4,48.1,108,109,-1.1,-2.7,12.7,12.1
Bill Crow,1,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,-,-,0.0,3,2,0,-,-,0,12.5,25.0,-,12.5,-,-,-,-,-12.3,-0.2
Mark Crow,3,0,0,0,0,0,0,0,0,0,15,5.6,1.8,0.5,0.1,0.3,-,84,27,8,1,5,-,43.8,70.0,-,-,104,95,-0.1,-4.4,12.8,0.2
Corey Crowder,3,0,0,0,0,0,0,0,0,0,58,2.1,0.8,0.3,0.0,0.1,0.2,120,44,18,2,8,13,36.9,70.8,38.2,42.2,110,97,-0.2,-4.6,7.6,0.2
Jae Crowder,3,1,0,0,0,0,0,0,0,0,498,9.3,3.8,1.4,0.3,1.0,1.3,4612,1904,693,157,481,636,42.8,78.5,34.1,51.3,107,110,8.2,0.7,13.2,26.4
Al Cueto,5,0,0,0,0,0,0,0,0,0,149,5.3,4.9,1.0,-,-,0.0,794,731,144,-,-,5,40.4,71.0,23.8,40.7,-,-,-,-,11.4,2.2
Pat Cummings,4,0,0,0,0,0,0,0,0,0,683,9.6,5.6,1.2,0.3,0.5,0.0,6529,3825,807,171,360,0,49.7,73.7,0.0,49.7,106,102,-1.0,-2.3,13.3,22.6
Terry Cummings,3,0,0,2,2,0,0,0,0,0,1183,16.4,7.3,1.9,0.5,1.1,0.0,19460,8630,2190,650,1255,44,48.4,70.6,29.5,48.5,105,108,24.9,0.9,18.3,91.1
