Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
Cory Alexander,1,0,0,0,0,0,0,0,0,0,307,5.5,1.6,2.7,0.1,0.9,0.8,1677,481,834,37,263,237,38.9,75.6,35.4,46.8,108,96,-0.2,-2.2,12.4,3.0
Courtney Alexander,1,0,0,0,0,0,0,0,0,0,187,9.0,2.2,1.2,0.1,0.6,0.2,1690,409,227,18,111,41,42.2,81.3,33.9,43.5,108,99,-2.1,-4.0,11.5,4.1
Gary Alexander,4,0,0,0,0,0,0,0,0,0,11,1.7,1.4,0.2,0.0,0.3,0.0,19,15,2,0,3,0,57.1,33.3,-,57.1,103,82,-0.1,-5.8,8.6,0.0
Joe Alexander,3,0,0,0,0,0,0,0,0,0,67,4.2,1.8,0.7,0.4,0.2,0.2,282,120,44,30,16,16,41.0,69.8,34.0,44.2,108,96,-0.2,-3.3,9.9,0.5
Victor Alexander,5,0,0,0,0,0,0,0,0,0,286,8.9,4.8,0.9,0.6,0.5,0.1,2542,1384,257,177,135,18,51.8,63.4,28.6,52.2,109,105,-0.9,-2.6,13.7,8.8
Steve Alford,1,0,0,0,0,0,0,0,0,0,169,4.4,0.9,1.0,0.1,0.5,0.2,744,144,176,10,85,35,45.9,87.0,32.4,48.7,109,109,-0.2,-2.4,14.4,3.2
Bill Allen,5,0,0,0,0,0,0,0,0,0,38,7.9,7.1,0.6,-,-,0.1,300,269,23,-,-,2,42.9,58.6,100.0,43.2,-,-,-,-,11.9,0.6
Bob Allen,4,0,0,0,0,0,0,0,0,0,27,1.8,2.1,0.4,-,-,-,48,56,10,-,-,-,32.6,55.6,-,-,-,-,-,-,6.8,0.1
Grayson Allen,2,1,0,0,0,0,0,0,0,0,17,4.1,0.3,0.4,0.0,0.1,0.6,69,5,7,0,1,11,32.3,72.0,26.8,41.1,114,90,-0.3,-8.6,3.8,-0.1
Jarrett Allen,5,1,0,0,0,0,0,0,0,0,106,9.3,6.3,1.0,1.3,0.4,0.1,989,667,104,134,46,9,59.1,75.4,23.1,59.8,109,122,1.9,1.2,18.5,7.6
Jerome Allen,2,0,0,0,0,0,0,0,0,0,117,2.9,1.1,1.7,0.1,0.4,0.3,336,123,201,9,52,40,35.0,63.0,31.7,41.1,109,92,-0.7,-4.2,8.5,0.2
Kadeem Allen,1,0,0,0,0,0,0,0,0,0,18,1.1,0.6,0.7,0.1,0.2,0.0,19,11,12,2,3,0,27.3,77.8,0.0,27.3,106,78,-0.1,-6.4,2.6,-0.1
Lavoy Allen,5,0,0,0,0,0,0,0,0,0,388,4.8,4.8,1.0,0.6,0.3,0.0,1847,1843,384,214,120,2,47.1,68.2,13.3,47.2,105,107,1.3,-1.2,12.5,13.8
Lucius Allen,1,0,0,0,0,0,0,0,0,0,702,13.4,3.1,4.5,0.3,1.5,-,9407,2205,3174,124,604,-,46.3,76.0,-,-,100,94,7.6,0.5,15.5,42.0
Malik Allen,4,0,0,0,0,0,0,0,0,0,478,4.9,2.8,0.5,0.5,0.3,0.0,2334,1353,228,220,130,3,43.9,77.8,18.8,44.0,105,95,-3.8,-4.0,9.9,6.6
Randy Allen,2,0,0,0,0,0,0,0,0,0,70,3.6,2.1,0.3,0.3,0.2,0.0,252,145,23,20,17,0,44.2,53.3,0.0,44.2,111,94,-0.8,-6.2,8.3,0.2
Ray Allen,2,0,1,10,2,0,0,0,0,0,1300,18.9,4.1,3.4,0.2,1.1,2.3,24505,5272,4361,244,1451,2973,45.2,89.4,40.0,53.0,108,114,58.1,3.0,18.6,145.1
Tony Allen,3,0,0,0,0,6,0,0,0,0,820,8.1,3.5,1.3,0.4,1.4,0.2,6654,2884,1077,337,1158,125,47.5,70.9,28.2,48.7,102,103,13.7,1.0,14.2,38.7
Willie Allen,4,0,0,0,0,0,0,0,0,0,7,1.9,2.0,0.6,,-,0.0,13,14,4,,-,0,30.8,83.3,-,30.8,-,-,-,-,5.7,0.0
Odis Allison,3,0,0,0,0,0,0,0,0,0,36,1.9,1.3,0.3,-,-,-,67,45,10,-,-,-,21.8,54.1,-,-,-,-,-,-,4.7,-0.6
Lance Allred,5,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.0,0.0,0.0,3,1,0,0,0,0,25.0,50.0,-,25.0,112,72,0.0,-19.7,-1.0,0.0
Darrell Allums,4,0,0,0,0,0,0,0,0,0,22,2.7,3.0,1.1,0.4,0.2,0.0,59,65,25,8,5,0,34.3,59.1,0.0,34.3,109,79,-0.2,-5.6,5.3,-0.3
Morris Almond,2,0,0,0,0,0,0,0,0,0,38,3.1,1.2,0.3,0.1,0.3,0.2,119,46,12,4,12,7,38.1,74.3,29.2,41.2,109,91,-0.4,-6.4,7.0,0.0
Derrick Alston,5,0,0,0,0,0,0,0,0,0,139,5.4,3.8,0.7,0.6,0.7,0.0,751,525,94,87,95,1,48.9,48.7,14.3,49.0,111,103,-0.1,-2.1,11.7,2.6
Rafer Alston,1,0,0,0,0,0,0,0,0,0,671,10.1,2.8,4.8,0.2,1.2,1.5,6799,1891,3202,105,813,996,38.3,72.9,35.4,46.1,105,102,10.9,0.2,13.2,32.9
Peter Aluma,5,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,0.5,0.5,0.0,2,2,0,1,1,0,50.0,-,-,50.0,73,55,0.0,-7.1,3.1,0.0
John Amaechi,4,0,0,0,0,0,0,0,0,0,294,6.2,2.6,0.8,0.3,0.3,0.0,1837,772,228,94,90,1,40.3,67.1,7.7,40.3,105,90,-5.0,-6.1,8.9,0.5
