EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
8.6,4.4,1.5,0.7,0.1,0.2,41.8,70.3,41.9,109,92,-1,-5.6
11.4,12.1,3,1.7,0.2,1.1,43.7,77.3,49.4,107,98,0.8,-1.8
8.4,3.2,1.1,0.5,0.3,0.4,41.6,58.5,41.6,102,88,-0.5,-4.1
12,5.2,1.8,1.9,0.3,1.6,44,73,45.8,102,99,6.7,0.6
12.3,7,5.4,1.3,0.6,0.7,42.9,72.7,42.9,97,96,0.7,-0.5
11.3,2.8,3.4,0.5,0.3,0.1,47.7,51.1,47.9,107,99,-0.9,-3.7
16,8.1,6.3,0.7,2.5,0.6,45.7,71.6,45.7,101,102,12.3,0.5
9.5,0.9,1.2,0.1,0,0,27.3,100,27.3,107,95,-0.1,-9.6
9.6,1.6,1.9,0.2,0.1,0.1,43.1,69.2,43.1,111,104,-0.3,-6.1
9.8,2.5,1.5,0.2,0.2,0.3,45,56.1,45,108,93,-0.4,-5.9
9.8,2.1,2.3,0.3,0.1,0.2,47.5,66.7,47.5,101,96,-0.1,-4.1
15.1,6.4,1.9,0.7,0.1,0.6,45.5,74.4,46.1,107,102,-0.3,-2.9
20.5,15.9,8.5,2.1,1.7,0.9,50,73.6,50.1,104,110,45.2,3.1
19.7,13.8,3,6.1,0.3,1.6,44.8,87.3,47.1,105,110,23.7,2.4
14.4,5.4,2.9,0.7,0.4,0.4,42.2,72.5,42.2,108,100,-0.3,-3.5
12,7,1.8,3.2,0.1,0.9,40.7,83,42.6,107,99,-1.1,-2.4
7.4,2.9,0.9,0.4,0.1,0.2,36.9,63.5,40.6,111,91,-1.2,-7
11.2,6.5,1.8,2.2,0.1,0.6,34.4,74.8,44.1,106,100,-0.4,-2.8
13.2,6.8,4.4,0.9,1.1,0.4,46.7,62.8,46.7,105,103,2.5,-1.2
11.8,8.9,2.8,1.5,0.3,1.3,42.5,71.3,46.4,108,101,4.6,-1
7,1.6,0.9,1,0,0.4,37.2,39.3,41.5,105,85,-0.3,-4.4
12.2,5.8,6.3,1.5,0.7,0.8,44.8,57.1,44.8,99,98,11.1,0.8
13,11.9,1.9,1.8,0.5,1,45.9,82.4,46.2,109,103,-0.8,-2.3
14.4,7.8,2.8,1.6,0.2,1.2,49,67.5,50.5,104,112,10.7,1.7
13.6,7.2,3.9,0.5,0.4,0.2,49.8,70.1,49.8,109,108,-0.8,-2.5
14.2,10,4.7,1.9,0.4,0.9,51.9,74,52.4,108,106,6.8,-0.3
15.6,13.6,3.5,2.4,0.3,0.8,47.5,84.6,47.7,106,107,5.4,-1
10.4,7.5,2.7,1.4,0.4,1.4,41.5,84.2,50.4,112,106,0.3,-0.6
13.3,7.3,3.8,1,0.8,0.6,46.6,75,54.2,109,111,0.3,-0.2
2.2,1.8,0.5,0.8,0,0,36,40,38,117,80,-0.2,-12.2
14.6,7.8,4,3.2,0.1,0.7,46,80.1,46.2,106,105,6.3,-0.2
4.7,1.7,1.4,0.2,0.3,0.1,50,52.4,50,108,84,-0.3,-6.6
10.3,2.1,3.1,0.3,0.1,0.2,48.8,61.8,48.8,106,116,0,-2.1
8,1.5,0.9,0.2,0.1,0.1,36.4,100,47.7,112,101,0,-4.4
13.1,5.1,1.5,1.8,0.2,0.6,44.4,74.8,45.4,112,102,0,-2
15.1,12.1,3.3,3.7,0.2,0.9,47.8,89.4,54.2,111,113,1.8,-0.4
13.3,9.7,1.7,3,0.1,0.6,41.3,83.7,48.8,110,104,0.8,-1.8
9.6,10.3,3,1.5,0.2,0.9,43.6,74.2,49.6,113,99,-0.9,-3.3
8.3,3.3,1.1,0.4,0,0.1,40.1,85.9,41.5,110,92,-1.5,-7.9
14,8,2.1,1.4,0.2,0.6,44.7,75.1,48.7,110,101,-0.4,-2.4
15.2,12.8,6.3,2.6,0.4,1.2,48.6,71.4,48.6,110,108,7.1,1
14.5,4.9,1,2.4,0,0.7,45,84.9,50.3,109,116,1.6,-1.3
11.4,2.6,2.4,0.1,0.1,0.2,51.6,50,51.6,110,97,-0.7,-6.9
5.6,3.9,2.5,0.7,0.1,0.5,32.8,85,40.7,113,90,-0.5,-4.8
8.9,4.4,0.7,1.5,0,0.3,37.9,80.6,44.6,116,93,-2.2,-7.2
8.3,4.6,2.5,1,0.6,0.5,42.9,65.2,47.1,108,103,0.1,-1.2
11.6,5.9,3.1,0.8,0.3,0.3,49.1,69.9,49.4,108,105,-3,-3
3.9,2.8,1.3,0.5,0.2,0.1,33.6,66.7,35.2,109,77,-0.7,-10.3
14.6,11.1,2.6,3.7,0.3,1.3,43.6,82.5,48.8,109,109,11,0.6
7.9,2.1,1,1.8,0.1,0.5,34,64.3,38.4,110,92,-0.4,-4.1
13.8,5.2,2.4,0.7,0.2,0.5,51.5,63.7,52.5,109,109,0.2,-1.6
11.9,7.2,2.8,1.5,0.1,0.6,40.1,77.6,45.2,107,102,0.1,-2
-9.7,1,2,0,0.3,0,16.7,25,16.7,98,35,-0.1,-24.7
17.7,14.6,2.7,3.3,0.2,1.4,47.8,85.8,48.2,101,107,16.6,1
7.3,2.4,0.7,0.9,0,0.2,37.1,78.6,38.8,107,83,-0.4,-9.1
11,11.9,1.9,2.1,0.1,0.6,41.2,75.3,47.9,115,104,-0.3,-3.8
12,10.5,3.9,1.3,0.3,0.7,45.1,65.7,51.5,107,102,0.2,-1.8
11.7,7.4,4.4,1.4,0.2,0.5,45.3,78.3,45.3,102,103,1.5,-1.4
11,3.6,2.4,0.7,0.2,0.6,40.5,64,45.1,102,99,-0.1,-2.2
12.5,6.6,5.5,0.9,0.6,0.5,49.2,57,49.2,105,102,-0.4,-2.1
-18.6,1,1,0,0,0,0,40,0,103,46,0,-38.4
9.1,2.9,1.5,1.8,0.2,0.6,36.7,70,39.5,110,90,-0.6,-3.9
10.5,3.4,0.8,0.9,0.1,0.3,38.1,71.4,45.8,106,100,-0.1,-3.2
10.1,5.2,2.1,1.2,0.2,0.6,38,78.1,43.2,109,97,-0.4,-2.8
9.7,5,4.4,0.7,0.3,0.4,45.5,69,45.5,106,102,-1.4,-2.5
14.1,9.1,7.7,1.5,1,0.8,46,79.4,46.1,102,110,28.6,1.4
10.3,4.8,1.8,2.2,0.2,1.1,41.7,69.1,42.1,104,95,-0.5,-2.2
-0.9,1,0.9,0.3,0,0,28.6,0,28.6,111,70,-0.1,-11.4
9.8,4.4,3.5,0.4,0.3,0.3,46.4,66.7,46.4,107,98,-2.7,-4.4
17.2,17.4,6.2,3.8,0.6,0.7,46.9,79.1,48.8,104,107,2.4,0.5
8.7,2.4,3.5,0.5,0.7,0.3,40.6,62.4,40.8,101,90,-0.2,-2.4
12.4,7.6,1.9,1.1,0.2,0.7,42,80.7,46.8,107,100,-0.6,-2.3
9.8,4.3,2.7,0.6,0.2,0.5,42,85.3,50,109,104,-0.4,-3.3
10.8,3.9,1.2,2,0,0.5,38.4,76.9,41.3,112,93,-1.6,-5.9
9.9,6,2.1,1.6,0.1,0.7,43.7,71.9,44.6,111,100,-0.2,-2.2
10.1,2.1,1.3,0.9,0,0.4,32.4,70,35.1,112,92,-0.1,-5.8
10.1,2.3,1.6,0.2,0.3,0.4,50,38.9,50,108,101,0,-2.5
10.8,6.3,1.6,1.8,0,0.6,45.4,61.1,49.7,112,105,-0.2,-3.2
10.7,3.2,1.3,2.6,0.1,0.6,37.8,69.3,42.6,106,95,-1.8,-3.6
10.5,2.6,1.7,0.8,0.1,0.3,36.4,77.3,46.5,109,100,0.1,-1.4
12.2,8.7,4,1.7,0.3,0.9,45,74.3,45.3,106,98,0.8,-1.8
22.9,25,5.2,4.7,0.5,1.4,44.7,83.7,48.2,105,110,72.1,3.9
10.9,5.4,3.8,0.6,0.2,0.4,50,69.7,50,106,107,-0.8,-2.2
19.2,5.2,3.2,0.7,0.5,0.2,61.9,77.3,64.6,112,129,0.2,0.1
9.4,3.2,3.7,1.1,0.4,0.3,40.7,57.3,40.7,107,97,0,-1.9
9.1,1.3,0.7,0,0.3,0.7,0,66.7,0,85,81,0,-4.5
13,3.9,1.1,0.5,0.1,0.4,40.3,68.3,40.3,103,92,-0.2,-5.2
0,1.3,0.4,0.6,0.1,0.1,27.3,83.3,27.3,111,70,-0.2,-12.3
10.7,5,2.8,1.3,0.2,0.8,45,75.7,49.8,105,108,5.8,0.1
13.4,8.2,2.7,4.3,0.1,1.9,46.1,65.7,46.1,101,98,10.2,0.5
13,7.9,3,1.2,0.2,0.5,43,79.7,50.4,109,108,1.2,-1.4
11.2,3.3,1.8,0.8,0.2,0.4,43.3,63.3,49.2,106,108,2.7,-0.7
10,6.4,2.6,0.8,0.1,0.5,41.2,75.8,43.6,106,94,-2.8,-4.6
11.9,5.3,2,0.9,0.2,0.3,41.8,76.8,52.1,108,109,1.1,-1.5
11.5,6.1,1.9,1,0.1,0.5,44.2,82.5,55.5,110,113,1.5,-0.6
15.3,13.1,2,1.4,0.1,1.1,44.3,73.6,44.6,108,102,-0.5,-2.7
8.9,3.7,2.1,0.3,0.3,0.2,40.8,66.3,41.7,105,88,-1.7,-7.1
13.7,10.9,2.1,3.7,0.1,0.6,40.3,79.2,46.4,112,103,-0.4,-2.2
15.5,0.8,1,0.8,0.3,1,0,83.3,0,90,85,0.1,7.1
13.5,9.6,3,1.7,0.2,0.6,42.1,76.7,46.3,109,103,-0.7,-2.3
7.2,2.3,0.6,1.3,0,0.4,38.7,57.1,39.7,105,87,-0.9,-6.6
5.1,1.8,0.7,1.2,0.1,0.7,25,94.1,30.7,105,79,-0.2,-4.3
16.1,9.4,6.3,1.3,1.3,0.7,44.5,72.6,44.5,97,101,6.2,0.6
3.6,2.6,0.6,1.7,0,0.3,43.8,60,43.8,113,81,-0.2,-9.4
9.7,2.4,1.3,0.4,0.1,0.3,40,52.2,40,108,94,-0.1,-4.8
13.5,6.9,3.5,1.4,0.5,0.9,41.8,72.3,49.1,105,107,6.1,1.2
9,3.1,1.8,0.2,0.2,0.2,37.6,65.6,37.6,110,90,-0.7,-7.9
8,3.3,1.1,0.3,0.3,0.2,43.5,83.3,47.8,106,95,-0.1,-5.7
12.7,10.3,2.9,1.2,0.4,0.6,42.4,78.6,45.2,110,104,-1.4,-2.8
10.4,5.8,0.9,1.2,0.1,0.5,42.6,69.5,42.8,111,95,-1.1,-6
13.1,7.1,2.7,4.6,0.2,2,44,77.9,46.5,103,110,20.2,1.2
15,14.1,5,2.3,0.2,1.3,43.4,84.7,46.9,108,105,15.9,0.2
2.9,1.4,1,0.1,0,0,35.4,71.4,35.4,110,81,-0.6,-12.5
14.6,5,3,0.4,0.4,0.3,53.9,77.5,53.9,108,105,0,-2
20,16.6,4.9,3.4,0.5,1.6,45.4,83.3,49.2,105,119,24.6,4.1
10.2,5.2,2,0.9,0.1,0.6,43.8,62.3,46.8,109,97,-1.9,-3.4
10.6,7.5,2.4,0.8,0.5,0.4,40.3,74.7,48.3,108,102,-0.4,-2.1
11.7,6.3,1.6,1.7,0,0.6,40.2,88.3,44.9,109,96,-0.4,-4.4
14.9,5,5.5,0.5,0,1,27.3,100,27.3,102,113,0,0.6
19.6,11.5,7.7,1.2,1.6,0.3,55.6,69,55.6,103,114,9,1.3
14.6,8.1,1.6,3.3,0.1,0.7,44.2,79.9,45.8,111,102,-1.7,-3
10.8,5.7,2.2,1.6,0.1,0.4,46.3,73.6,46.9,111,103,-1.1,-3
11.5,4.3,2.1,0.6,0.2,0.2,42.7,73.3,44.9,107,96,-1.3,-5.2
4.9,1.5,1,0.3,0.2,0.2,28.2,83.3,33.8,109,77,-0.3,-6.7
12.5,7.3,4.4,0.9,0.2,0.5,48.1,63.7,48.1,106,102,-1.6,-2.7
13.9,7.3,7.6,0.9,0.6,0.9,51.5,66.4,51.5,106,115,21.9,0.9
12.3,4.6,1.9,2.7,0.1,1,44.1,58.1,46.8,102,96,0.6,-0.7
15.9,9,2.4,5.8,0.1,0.8,47.2,87.2,54.3,112,117,9.9,-0.3
8.7,2,2.5,0.2,0.2,0.3,48.5,45.3,48.5,104,90,-1.3,-5.2
14.7,16.1,5.3,3.4,0.4,2.1,46.6,57.2,46.7,103,99,3,1.4
12,11.8,3.3,1.6,0.2,1.2,41,79.4,48.9,109,107,6.7,0.1
9.3,5.3,3.6,1.1,0.3,0.6,46,78.2,46,101,106,-0.2,-2.1
1.8,1.6,0.7,1.7,0,0.1,22.2,66.7,25,114,72,-0.1,-11.3
6.6,3.2,1.2,1,0.1,0.3,39.1,69.6,39.1,111,88,-0.8,-6.8
17.4,16.1,2.5,4.8,0.1,1.1,44.7,86.3,45.1,106,109,2.6,-1
12.1,7,3.2,1.1,0.1,0.5,48.4,68.7,48.4,117,103,-0.3,-3.3
17.8,9.5,9.8,1.9,2.4,1,46.6,67,46.8,99,106,35.6,2.9
15.9,10.3,5.9,1.1,1.5,0.7,46,69.9,46,102,105,10.8,-0.3
14.5,11.6,3.1,1.5,0.2,0.8,45.6,79,46,110,103,1.2,-1.7
10.7,8.4,1.9,1.9,0.1,0.6,37.1,83.4,48.1,112,102,-1.1,-2.9
14.8,16.6,2.9,3.6,0.2,0.3,41.1,76,41.5,103,77,-0.3,-5.3
22.1,11.4,8.7,0.9,1.5,0.7,63,49.6,63,104,122,6,1.8
10,2,1,0.2,0.2,0.1,48.5,73.9,48.5,105,98,-0.2,-4.9
12.7,4.6,2.3,1,0.2,0.6,40.8,86.1,48.2,105,109,4.5,0.7
18.1,1.3,0.2,0.2,0,0,66.7,66.7,66.7,118,131,0,-4.2
7,2.2,0.8,1.1,0,0.2,42.2,77.5,43.5,108,92,-1.2,-5.2
11.9,5.9,2,0.4,0.3,0.5,42.2,70.4,48.5,109,104,-0.8,-2.7
14.2,9.3,3.4,1.1,0.9,0.4,50.3,78,50.3,108,108,7,-0.6
15,15.4,2.9,2.8,0.1,0.8,44.9,80.4,44.9,105,102,4,-1
11.9,6.7,2.2,1,0.2,0.3,41.6,80.7,46.2,109,99,-2.4,-4.1
5.1,4.1,1.2,1.6,0.2,0.5,32.9,75,34,105,75,-1.1,-8.8
14.7,11.6,7.4,1.4,0.4,0.7,51,68.4,51,105,104,4,-1.1
14,10,4.5,2,0.4,1.4,47.2,73.7,47.6,102,103,13.6,1.3
9.4,8.2,2.3,1.5,0.3,0.8,42.8,76,42.8,104,94,-0.5,-3.1
13.4,8.9,4.2,1.2,0.3,1,43.2,74.2,50.9,107,110,8.6,0.8
16.4,17.7,7.7,1.8,1.6,1,47.4,74.7,47.4,107,102,7.5,-0.7
11.6,6.6,1.9,0.7,0.1,0.5,41.3,84.1,48.2,110,106,-1.6,-2.8
9.7,1.3,1,0,0.5,0,66.7,100,66.7,105,110,0,-6.9
10.8,4.8,2.1,3.8,0.2,1,40.4,70.6,42.3,104,94,-2.2,-2.7
12.7,8.7,1.5,1.9,0.1,0.9,47.5,78.8,48.5,109,103,-0.8,-2.5
15.1,18.1,6.8,2,0.3,1,44.5,81.3,44.9,108,102,1,-1.3
10.3,5.3,1.3,1.1,0.1,0.3,44,77.4,44.7,115,98,-0.7,-5.6
5.8,4.2,1.1,0.4,0,0,31.4,80,37.1,109,90,-0.2,-10
9.1,3.5,1.2,1.5,0.1,0.4,38.8,77.2,38.8,109,94,-0.9,-4.6
8,3,1.1,0.6,0.2,0.3,42.9,62.3,42.9,105,86,-0.4,-5.9
19,17.5,4.4,3.2,0.6,1,43.7,79.9,48.9,106,109,54.8,2.9
15.3,10.3,6.7,1.9,1.5,0.5,47.7,77.2,48.5,108,104,0.4,-0.4
13.7,11.1,4.5,4.7,0.5,1.4,40.2,70.1,42.4,106,94,2.4,-0.8
15.2,13.2,6.3,1.4,0.7,0.5,52.5,77.1,52.5,107,112,10.7,-0.5
8.7,3.6,1.8,2,0.3,0.6,43.1,70,48.7,109,98,-0.1,-2.9
19.5,15.7,3.2,6,0.2,1.1,45.4,86.1,48,108,110,25.4,1.4
13,7.9,4,1.1,0.2,0.6,45.3,67.5,51.9,109,106,1.7,-1.4
9.6,3.2,5,0.8,1.7,0.4,43.5,64.7,43.5,99,95,6.4,-0.1
14.1,12.7,6.4,0.9,0.2,0.6,48.5,65.4,48.5,111,106,-1,-2.3
14.4,5.5,5.3,0.5,1.3,0.5,50.7,64.4,50.7,100,109,4.6,-0.3
10.2,3.1,1.4,0.1,0,0.2,40.4,76.5,40.6,111,99,-0.9,-8.5
16.8,10,6,1.5,0.8,0.9,52.7,61.9,52.8,108,110,3.2,0.2
11.7,4.9,4.2,0.4,1.4,0.4,50.7,61.8,50.8,105,104,1.6,-1.3
13,4.7,3.3,0.7,0.1,0.2,44.1,81,54.6,112,119,0.1,-1
4.2,1.4,2.9,0.3,0.8,0.2,33.7,54.5,33.7,107,76,-0.4,-4.5
19.3,14.3,5.3,1.2,0.3,0.7,50,75.3,51.8,107,110,6,-0.4
2.7,2.3,0.7,1.3,0,0.4,33.3,83.3,35.6,102,74,-0.3,-7.4
6.5,3.1,0.9,1.4,0,0.4,33.6,62.5,38.4,110,87,-0.5,-6.3
12.7,8.9,2.5,3.7,0.2,1.5,41.7,79.3,49.8,106,104,9.8,0.3
13.2,8.3,3.2,0.8,0.1,0.3,44,77.4,44,103,104,0,-1.9
16.5,18.1,6.1,2.1,0.6,0.8,46.8,80.7,47.6,108,108,13.2,-0.5
16.2,8.5,9.3,0.9,1.2,0.6,59.5,64.6,59.5,103,118,27.4,1.5
13.2,13.2,5.4,1.8,0.6,0.7,44.5,76.8,50.2,111,106,6,-0.7
11.6,8.4,4,2.2,0.5,1.2,43.6,77.6,43.7,99,91,4.6,-0.3
13.9,14.6,2.5,2.7,0.2,0.9,43,80,47.7,111,104,2.2,-1.5
11.5,3.4,1.1,0.2,0.2,0.1,55.7,66.7,55.7,109,108,-0.1,-3.6
11,9.5,3.2,1.7,0.2,0.8,46.6,69.1,48,109,101,-0.7,-2.1
16.5,11.1,2.8,6.7,0.3,2.1,52.3,79.3,52.6,105,116,33.9,1.9
15.3,17.2,3.6,3,0.6,1.6,44.4,80.6,44.5,97,95,9.3,0.6
5.8,1.9,0.6,1,0.1,0.8,26.3,50,31.6,103,80,0,-3.7
11.8,7.1,2.4,0.7,0.1,0.5,44.3,75.5,44.8,107,100,-1.1,-4
11.9,4.3,3.3,0.8,0.4,0.5,44.1,69.6,48.1,108,103,0.3,-1.9
15.6,9.1,4.7,1.6,0.5,0.9,52.2,77.9,54.2,110,118,8.6,1.3
5.9,2.4,0.5,1,0,0.3,32.8,80,40.3,106,85,-0.4,-6.4
11.2,6.9,2.4,4.9,0.1,0.9,40.3,81.6,46.1,104,102,1.9,-1.4
13.9,12.5,8.2,1.6,1.1,0.6,47.8,68,47.8,100,101,7.6,-0.6
11.6,8.1,4.6,0.9,0.9,0.7,43.7,61.7,49.4,110,98,0.1,-1.9
14.6,11.2,4.1,3.6,0.5,1.9,42.6,82.1,47.9,104,105,25.4,1.9
11.1,2.3,1.2,0.3,0.1,0.1,35.5,75,42.7,110,109,-0.1,-3.6
11,2.1,1.9,0.1,0.2,0.1,46.7,72.4,46.7,111,116,-0.1,-4
5.7,2.9,1.4,2,0.1,0.4,34.5,54.8,37.2,111,91,-1.1,-6.3
9.5,2.4,0.9,0.7,0,0.5,40.7,80.3,40.7,106,96,-0.1,-2.8
10.2,4.4,3,0.5,0.5,0.3,40.3,66.4,43.9,105,94,-1.5,-3.6
8.8,3.3,2.8,0.5,0.7,0.4,30.6,100,43.5,112,109,0,-1.8
10.3,5.2,1.3,1.1,0.1,0.4,44.5,79.1,51.4,110,102,-1.4,-3.4
15.4,8.2,5.9,0.9,1.6,0.5,50,64.5,50,100,103,3.8,-0.1
15.2,14.4,3.2,2.7,0.1,0.9,44.4,81.1,49.6,114,104,0.7,-1.7
7.4,2.9,1,0.4,0,0.3,33.3,100,50,111,102,0,-3.6
7.5,3.2,2.2,0.7,0.2,0.4,39.8,58.5,46.6,109,92,-0.4,-3.3
0.2,0.7,0.7,0,0.3,0,50,0,50,110,72,0,-11.1
14.5,9.3,2.5,4.3,0.1,1.5,40.9,76.2,41.7,105,101,2.8,-0.7
12.6,8.3,3,3.9,0.2,1,46,76.5,46.1,103,105,8,0.1
8.5,3.6,1,1.9,0,0.4,38.9,72.8,39.9,106,87,-2,-6.3
4.5,1.4,0.8,0.1,0.3,0.4,38.1,66.7,45.2,107,78,-0.1,-4.5
14.2,3.9,2.9,0.3,1.3,0.2,47.1,60.6,47.1,108,101,-0.5,-3.1
7.9,1.3,1.5,0.1,0.1,0.1,37.3,54.5,37.3,113,104,-0.4,-7.3
7.7,3.4,1,1.7,0.1,0.4,39.5,60,40.3,106,83,-0.5,-5.9
8.9,1.6,1.2,0.1,0.1,0.1,40.9,83.3,40.9,107,95,-0.3,-9
9.2,7,2,2.7,0.1,0.8,40.7,74.3,44.9,108,94,-4,-4
12.3,6.6,4.1,0.6,0.4,0.4,51.6,75.9,51.6,109,104,-1.1,-3.2
18,16.5,9.3,2.5,1.3,0.8,44.7,76.9,46.2,103,105,21.7,1.3
6.6,5.3,2.8,0.4,0.2,0.4,34.6,55.6,34.8,110,84,-0.7,-8.3
12.1,7.8,2.1,3.9,0.2,0.9,42.5,81.1,44.7,110,105,-0.7,-2.1
11.7,5.6,2.9,0.3,0.2,0.2,45.5,73.8,46,110,100,-2.3,-6.3
4.3,3.2,1.4,0.9,0,0.4,35.4,66.7,35.4,111,81,-0.4,-6.3
14.5,9.8,2.8,1.8,0.3,1.1,48.5,74.9,48.5,104,101,3.7,0.4
16.1,17.9,3.2,3.3,0.3,1.2,50.1,83.3,50.1,102,107,8.5,0.4
15.3,2.6,0.6,0.1,0.1,0.3,38.2,57.1,46.4,110,95,-0.1,-5.2
9.4,3.9,2.9,0.8,0.2,0.3,45.5,69.9,45.5,109,112,0.5,-1.8
7,3.6,3.7,0.9,0.5,0.5,41.1,64.7,41.2,103,97,0.2,-2
18.9,12,7.8,1.5,1,0.5,57.8,71,59.5,109,117,2,1.4
7.9,3.9,1.8,1.7,0.1,0.6,38,59.9,40.5,111,88,-2,-4.9
3.6,0.9,0.3,0.4,0,0.1,28,100,32,111,73,-0.1,-10.2
10,5.5,3.7,0.8,0.6,0.3,43.9,76.5,49.6,108,101,0,-1.9
10,3.2,3.3,1.8,0.3,0.5,38.4,52.5,40.4,108,98,0,-1.8
16,12.5,2.6,4.9,0.2,1.1,47,85.1,51.5,110,112,9.9,0
13.2,5.9,5.2,1,0.5,0.5,53.4,72.3,53.6,107,115,11.3,0.4
6.8,1.2,0.5,0.8,0,0.1,25,50,27.1,107,80,0,-6.3
12.9,6.3,2,2.8,0.1,0.9,44.8,77.8,46.1,109,108,2,-1.2
14.2,16.5,2.6,3.5,0.1,0.6,43.3,81,47.4,111,104,-0.4,-2.8
13.5,4.5,1.2,0.8,0.4,0.5,49.7,61.5,49.7,106,96,-0.1,-3.3
10.7,6,3.2,0.7,0.9,0.5,45.7,68.2,45.7,107,94,-1,-3.8
17.5,14.5,2.9,5.7,0.2,1.5,44,81.6,49.7,107,111,23.9,1.9
13.2,6.5,3.5,1,0.2,0.4,49.8,73.5,50.2,112,107,-1,-2.7
10.2,4,1.9,1,0.2,0.2,41.8,80.8,51.1,110,110,0.5,-1.3
12.2,4.4,1.2,1.6,0.2,0.5,48.8,75.9,48.8,104,96,0,-2.5
14.1,6.3,2.7,3.9,0.1,1.6,45.3,75.3,45.6,108,109,10.5,0.8
-3.1,0.4,0.7,1,0,0,13.6,12.5,13.6,114,55,-0.3,-12.8
11,3.6,3.7,0.3,0.8,0.4,43.9,52.4,43.9,112,100,-0.8,-4.2
13.1,5.5,2.6,0.6,0.3,0.3,43.9,78.3,50.2,107,105,-0.6,-2.4
9.1,6.4,2.1,0.7,0.1,0.4,36.9,81.3,47.6,110,100,-2.4,-3.6
13.8,9.5,2.1,3.7,0.3,1.7,45.3,76.4,45.8,104,100,6.6,-0.1
10.9,5.3,4.5,1.4,0.4,0.6,46.2,71.6,46.2,104,104,4.2,-0.3
9,1.7,0.6,2.1,0,0.7,33.3,50,33.3,105,85,-0.2,-6.1
13,8.2,2.1,2.2,0,0.4,48,78.7,57,113,112,-0.3,-2.8
-5.1,0.5,0.2,0.1,0,0.1,14.3,50,17.9,113,45,-0.1,-14.6
6.7,1.5,1.7,0.2,0,0.7,18.2,50,18.2,102,76,0,-5.6
15.6,2.9,2.4,0.3,0.1,0.3,44.9,57.5,44.9,106,113,0,-2.8
7.7,2.3,0.7,2,0,0.2,40.2,72,42.2,113,89,-1.3,-8.6
10.5,4.5,4,0.8,0.9,0.5,50.6,54.3,50.6,107,96,0,-2
12.8,8.9,3.2,4.2,0.6,1.2,46.9,83.3,50.2,107,111,18.2,1
13.4,7.9,6.2,0.9,1.6,0.3,45.7,73.6,45.7,104,103,1.4,-1.7
10.7,1.5,1.1,0.1,0.2,0.1,55,30.8,55,104,101,-0.1,-4.5
12.4,5.8,1.6,0.6,0.2,0.2,42.7,75.2,51.6,108,102,-0.5,-3
10.7,5,1.7,1,0.3,0.7,48.8,73.9,48.8,109,101,-0.1,-2.5
8.2,2.7,0.5,0.4,0,0.1,41.8,81.3,42.3,111,83,-0.3,-10.7
13.1,9.2,4.7,1.8,0.3,1.2,45.6,79.1,46.8,106,107,19.2,0.8
11.7,3.7,1.2,2.2,0,0.7,42.1,81.6,45.5,109,103,-0.2,-2.6
13.6,8.5,5.9,1.7,1,0.4,48.4,74.7,48.5,107,106,9.3,-0.2
12,3.8,0.8,0.8,0,0.3,41.8,83.3,46.2,109,95,-0.2,-5.9
12.3,2.6,0.8,0,0.1,0.2,35.9,77.8,35.9,104,91,-0.3,-14.7
6,2.8,0.8,0.5,0,0.3,35.8,57.1,37,107,79,-0.3,-9.1
9.7,2.8,1.5,0.3,0.2,0.2,43.3,63.3,43.7,109,96,-0.8,-6.3
22.4,21.5,11,3.2,1.2,1.4,46,73.7,47.8,103,103,21.4,2.9
13.4,12.7,5.5,1.5,0.8,1.7,40.1,81.4,51.3,105,103,7.8,1.2
17,17.6,13.6,3.8,0.9,1.1,46,78.3,46,96,106,26.2,3.2
1.6,4.1,1.4,0.9,0.1,0,35.1,50,35.1,106,74,-0.2,-9.7
11.3,9.5,2.9,1.2,0.3,0.6,43,84.4,53.6,111,110,1.9,-1
9,4.5,3.4,0.7,0.4,0.3,43.1,61.8,49.4,111,107,0,-2.1
12.9,6.6,2.2,0.6,0.3,0.4,43.7,82.4,46.2,106,103,-0.9,-2.9
15.1,14.8,2.2,3.4,0.2,0.9,41,86.2,47.7,111,105,9.4,-1
10.8,4.5,2,0.5,0,0.5,30,100,35,110,99,0,-5.6
14.1,12.2,2.5,3.1,0.1,0.7,41.1,82.6,46.4,109,99,-0.2,-2.1
-31.7,0,0.3,0,0,0,0,0,0,116,20,0,-37.4
17.1,3.8,0.5,1.2,0,0.2,38.2,92.3,49.3,108,111,0,-1.6
12.8,8.5,1.4,3.2,0.1,0.9,43.2,83.1,43.5,107,103,-1.8,-2.8
9.1,2.8,2.1,0.5,0.3,0.2,47.9,76,47.9,112,96,-0.2,-4.4
10.6,5.3,2.4,1.8,0.1,0.5,44.2,63.8,45.4,114,96,-1.1,-4.3
5.6,1.2,1.7,0.3,0.3,0.1,37,44.2,37,103,79,-0.4,-5.1
3.5,1.5,0.3,1.8,0,0,50,100,50,109,81,-0.1,-13.3
14.3,6.8,4,1,0.3,0.4,40.7,86.1,46.6,103,106,4.3,-0.5
1.5,1.2,1.4,0,0.1,0.1,25,56,25,112,82,-0.3,-10.1
15.3,3.7,1.8,0.5,0.2,0.3,57.1,41.8,57.1,109,110,0,-1.8
12.7,4,1.1,2.1,0,0.4,43.1,83.7,48.1,108,109,-1.1,-2.7
