EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
16.4,12.6,3.1,6.1,0.1,1.5,42.1,79,44.9,106,108,18,0.8
13.6,5.2,3.9,1.9,0.5,1,48.5,72.1,50.8,101,109,6,2.2
10.5,5.7,2.5,4.3,0.1,1.2,41.7,69.5,42,109,93,-0.3,-3.4
15.8,14.4,5.1,2.6,0.5,1.4,44.6,66.7,50,106,107,23.5,1.7
12.3,5.6,3.5,1.5,0.2,0.6,41.2,76.2,44.6,108,102,1.2,-1.2
14.3,10.6,3.5,1.4,0.1,0.7,47.1,81.4,47.9,111,107,1.1,-1.7
16.5,12.5,5.3,0.9,0.3,0.5,42.2,85.4,52.4,109,115,11.1,0.6
11.7,7.4,3.1,1.4,0.3,0.8,45.7,73.9,49.2,105,101,4.9,-0.8
13.8,12.2,3.8,3.8,0.6,1.1,47.1,78.6,47.9,107,104,8.3,0
17,0.9,0.9,0.1,0.3,0.1,33.3,83.3,33.3,102,95,0,-6.7
17,6.9,4.2,0.4,0.2,0.3,51.3,72.2,51.3,113,122,0.5,-1.1
13.2,5.2,3.4,0.8,0.4,0.5,41.3,75.5,41.6,103,96,-0.4,-2.8
20.9,17.8,7.9,4,1.3,1.2,51.4,74,53,105,112,20.2,3.7
20.3,24,6.5,3,0.5,1,44.9,81.1,48.2,108,108,28,0.9
14.5,7.3,1.9,4,0.1,1.2,40.3,73.3,46.7,104,106,8.1,0
9.7,2.2,2.8,0.2,1.1,0.3,51.3,66.2,51.3,103,112,3.8,0.1
10.6,6.3,3.5,0.9,0.2,0.3,39.2,73,48.3,107,103,0,-2.1
10,6.5,2.7,0.7,0.2,0.7,46.1,53.5,55.8,108,109,1,-0.1
-4.8,1.2,0.2,0.2,0,0.2,25,100,25,110,57,-0.1,-13
6.3,2.8,2.8,0.3,0.1,0.4,40.5,67.9,40.6,108,87,-1.8,-6.4
4.9,1.2,1.6,0.4,0.1,0.3,28.3,42.9,28.3,101,78,-0.2,-5
18,18.8,2.3,7.4,0.1,1.1,46.7,81,46.8,105,109,9.5,-0.2
10.1,4.9,2,2.9,0,0.8,44.6,83.3,57.7,113,118,0.2,-1.5
10.6,4.4,4.3,0.6,0.5,0.2,40.2,66.2,40.3,97,93,-1.9,-4.4
19.6,20.7,3.9,5.3,0.2,1.6,42.1,80.3,48.2,109,109,24.1,2.9
