Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,FG%,FT%,3P%,EF%,EFF,Win_Shares
Ashraf Amaya,4,0,0,0,0,0,0,0,0,0,85,4.5,4.2,0.4,0.2,0.3,0.0,45.5,63.3,50.0,45.7,11.5,1.9
Al-Farouq Aminu,4,1,0,0,0,0,0,0,0,0,617,7.6,6.0,1.2,0.6,1.0,0.8,42.3,73.2,33.7,48.0,12.3,23.7
Lou Amundson,4,0,0,0,0,0,0,0,0,0,428,3.7,3.6,0.4,0.7,0.4,0.0,47.4,44.4,0.0,47.4,12.0,6.9
Bob Anderegg,3,0,0,0,0,0,0,0,0,0,33,4.0,2.1,0.9,-,-,-,38.5,54.8,-,-,9.3,0.0
Chris Andersen,5,0,0,0,0,0,0,0,0,0,695,5.4,5.0,0.5,1.4,0.4,0.0,53.2,65.4,22.1,53.5,16.7,39.7
David Andersen,5,0,0,0,0,0,0,0,0,0,103,4.9,2.8,0.6,0.2,0.2,0.3,44.0,67.4,34.7,47.8,11.7,1.5
Alan Anderson,2,0,0,0,0,0,0,0,0,0,330,7.3,2.2,1.1,0.1,0.6,1.0,40.5,81.6,34.4,48.4,10.3,7.4
Andrew Anderson,1,0,0,0,0,0,0,0,0,0,194,10.7,2.7,1.7,-,-,0.1,41.0,75.5,15.9,41.3,10.9,3.5
Antonio Anderson,3,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0.0,0.0,0.0,0.0,33.3,-,-,33.3,-1.7,0.0
Cliff Anderson,2,0,0,0,0,0,0,0,0,0,84,3.0,1.3,0.9,-,-,0.0,35.4,58.5,-,35.4,10.6,0.3
Dan Anderson,5,0,0,0,0,0,0,0,0,0,140,12.2,9.4,1.1,-,-,0.0,48.1,72.7,-,48.1,17.5,10.9
Dan Anderson,1,0,0,0,0,0,0,0,0,0,95,3.7,1.0,1.7,0.0,0.4,-,47.2,84.6,-,-,12.3,1.6
Derek Anderson,3,0,0,0,0,0,0,0,0,0,615,12.0,3.2,3.4,0.1,1.1,1.0,40.8,85.3,34.1,46.3,15.3,43.9
Dwight Anderson,1,0,0,0,0,0,0,0,0,0,5,4.2,0.4,0.6,0.0,0.2,0.0,50.0,70.0,-,50.0,10.6,0.0
Eric Anderson,4,0,0,0,0,0,0,0,0,0,27,1.6,1.1,0.2,0.1,0.1,0.1,34.3,59.3,100.0,37.1,13.1,0.2
Greg Anderson,4,0,0,0,0,0,0,0,0,0,680,7.3,6.2,0.6,0.9,0.7,0.0,49.2,55.7,8.7,49.2,13.0,18.7
J.J. Anderson,3,0,0,0,0,0,0,0,0,0,157,4.8,2.8,0.7,0.2,0.7,0.0,46.5,55.8,0.0,46.5,12.1,2.7
James Anderson,2,0,0,0,0,0,0,0,0,0,247,5.8,2.3,1.2,0.2,0.5,0.8,41.1,75.5,32.1,48.8,9.9,3.3
Jerome Anderson,2,0,0,0,0,0,0,0,0,0,49,2.6,0.5,0.3,0.1,0.2,-,49.0,69.4,-,-,11.4,0.4
Justin Anderson,3,1,0,0,0,0,0,0,0,0,178,5.7,2.7,0.7,0.3,0.5,0.6,42.2,78.8,29.1,48.9,13.3,4.4
Kenny Anderson,1,0,0,1,0,0,0,0,0,0,858,12.6,3.1,6.1,0.1,1.5,0.6,42.1,79.0,34.6,44.9,16.4,62.5
Kim Anderson,3,0,0,0,0,0,0,0,0,0,21,3.0,2.1,0.7,0.2,0.2,-,31.2,53.6,-,-,3.0,-0.4
Kyle Anderson,3,1,0,0,0,0,0,0,0,0,284,5.1,3.9,1.9,0.5,1.0,0.2,47.9,71.4,33.1,50.2,13.5,14.3
Michael Anderson,1,0,0,0,0,0,0,0,0,0,36,5.7,2.5,4.3,0.1,1.2,0.0,41.7,69.5,14.3,42.0,10.5,0.2
Nick Anderson,3,0,0,0,0,0,0,0,0,0,800,14.4,5.1,2.6,0.5,1.4,1.3,44.6,66.7,35.6,50.0,15.8,55.3
Richard Anderson,4,0,0,0,0,0,0,0,0,0,407,5.6,3.5,1.5,0.2,0.6,0.4,41.2,76.2,33.3,44.6,12.3,7.6
Ron Anderson,3,0,0,0,0,0,0,0,0,0,664,10.6,3.5,1.4,0.1,0.7,0.2,47.1,81.4,28.7,47.9,14.3,24.2
Ryan Anderson,4,1,0,0,0,0,0,0,0,0,637,12.5,5.3,0.9,0.3,0.5,2.1,42.2,85.4,38.0,52.4,16.5,46.7
Shandon Anderson,2,0,0,0,0,0,0,0,0,0,719,7.4,3.1,1.4,0.3,0.8,0.4,45.7,73.9,31.6,49.2,11.7,23.6
Willie Anderson,2,0,0,0,0,0,0,0,0,0,555,12.2,3.8,3.8,0.6,1.1,0.2,47.1,78.6,26.6,47.9,13.8,27.9
Wally Anderzunas,3,0,0,0,0,0,0,0,0,0,44,3.6,1.9,0.2,-,-,-,39.2,63.0,-,-,8.8,-0.2
Martynas Andriuskevicius,5,0,0,0,0,0,0,0,0,0,6,0.0,0.7,0.0,0.0,0.3,0.0,0.0,-,-,0.0,15.5,0.0
Don Anielak,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,-,-,-,0.0,75.0,-,-,1.8,-0.1
Ike Anigbogu,5,1,0,0,0,0,0,0,0,0,14,0.9,0.9,0.1,0.3,0.1,0.0,33.3,83.3,-,33.3,17.0,0.0
Michael Ansley,3,0,0,0,0,0,0,0,0,0,149,6.9,4.2,0.4,0.2,0.3,0.0,51.3,72.2,-,51.3,17.0,6.4
Chris Anstey,5,0,0,0,0,0,0,0,0,0,155,5.2,3.4,0.8,0.4,0.5,0.0,41.3,75.5,13.8,41.6,13.2,2.8
Giannis Antetokounmpo,1,1,0,2,2,1,0,0,0,0,418,17.7,7.8,3.9,1.3,1.2,0.4,51.2,74.1,27.0,52.9,20.7,43.2
Thanasis Antetokounmpo,3,0,0,0,0,0,0,0,0,0,2,3.0,0.5,0.0,0.0,0.0,0.0,75.0,-,0.0,75.0,32.9,0.0
Carmelo Anthony,4,1,0,10,6,0,1,0,0,0,1064,24.0,6.5,3.0,0.5,1.0,1.3,44.9,81.1,34.7,48.2,20.3,101.0
Greg Anthony,1,0,0,0,0,0,0,0,0,0,757,7.3,1.9,4.0,0.1,1.2,0.8,40.3,73.3,34.9,46.7,14.5,35.9
Joel Anthony,4,0,0,0,0,0,0,0,0,0,490,2.2,2.8,0.2,1.1,0.3,0.0,51.3,66.2,-,51.3,9.7,15.3
Pero Antic,5,0,0,0,0,0,0,0,0,0,113,6.3,3.5,0.9,0.2,0.3,1.0,39.2,73.0,31.4,48.3,10.6,3.0
OG Anunoby,3,1,0,0,0,0,0,0,0,0,98,6.4,2.5,0.7,0.2,0.7,1.0,46.1,54.9,34.9,55.6,9.7,3.4
Keith Appling,1,0,0,0,0,0,0,0,0,0,5,1.2,0.2,0.2,0.0,0.2,0.0,25.0,100.0,0.0,25.0,-4.8,-0.1
Rafael Araujo,5,0,0,0,0,0,0,0,0,0,139,2.8,2.8,0.3,0.1,0.4,0.0,40.5,67.9,25.0,40.6,6.3,-0.4
Stacey Arceneaux,0,0,0,0,0,0,0,0,0,7,7.1,4.6,0.6,-,-,-,39.3,46.2,-,-,10.4,-0.1
Robert Archibald,4,0,0,0,0,0,0,0,0,0,44,1.2,1.6,0.4,0.1,0.3,0.0,28.3,42.9,-,28.3,4.9,0.0
Tiny Archibald,1,0,1,6,5,0,1,1,0,0,876,18.8,2.3,7.4,0.1,1.1,0.1,46.7,81.0,22.4,46.8,18.0,83.4
Ryan Arcidiacono,1,1,0,0,0,0,0,0,0,0,51,4.7,2.0,2.6,0.0,0.8,1.0,43.2,81.5,38.0,56.8,9.3,1.4
Jim Ard,5,0,0,0,0,0,0,0,0,0,431,4.4,4.3,0.6,0.5,0.2,0.0,40.2,66.2,23.5,40.3,10.6,4.0
Gilbert Arenas,1,0,0,3,3,0,0,0,0,0,552,20.7,3.9,5.3,0.2,1.6,2.0,42.1,80.3,35.1,48.2,19.6,51.3
Trevor Ariza,2,1,0,0,0,0,0,0,0,0,967,10.5,4.8,2.1,0.3,1.5,1.4,42.3,72.5,35.3,50.2,13.3,57.9
Paul Arizin,3,0,1,10,4,0,2,0,0,0,713,22.8,8.6,2.3,-,-,-,42.1,81.0,-,-,19.7,108.8
Joe Arlauckas,3,0,0,0,0,0,0,0,0,0,9,3.8,1.4,0.9,0.4,0.3,0.0,32.6,75.0,-,32.6,7.9,-0.1
B.J. Armstrong,1,0,0,1,0,0,0,0,0,0,747,9.8,1.8,3.3,0.1,0.7,0.6,47.7,85.6,42.5,51.3,14.5,45.0
Bob Armstrong,0,0,0,0,0,0,0,0,0,19,1.5,2.1,0.2,-,-,-,29.7,50.0,-,-,7.8,-0.1
Brandon Armstrong,2,0,0,0,0,0,0,0,0,0,108,2.2,0.6,0.2,0.0,0.2,0.2,35.2,60.0,33.3,39.5,4.9,-0.6
Curly Armstrong,0,0,0,0,0,0,0,0,0,153,6.8,2.3,2.3,-,-,-,29.5,69.2,-,-,-,7.1
Darrell Armstrong,1,0,0,0,0,0,0,0,0,0,840,9.2,2.7,4.0,0.1,1.3,1.1,40.9,87.1,33.4,48.0,16.3,49.8
Hilton Armstrong,5,0,0,0,0,0,0,0,0,0,292,3.0,2.6,0.3,0.5,0.3,0.0,50.1,58.2,28.6,50.2,9.9,3.9
Tate Armstrong,2,0,0,0,0,0,0,0,0,0,92,3.8,1.0,1.1,0.0,0.4,-,45.4,80.0,-,-,9.9,0.3
Jesse Arnelle,4,0,0,0,0,0,0,0,0,0,31,4.7,5.5,0.6,-,-,-,31.7,62.3,-,-,12.6,0.0
Jay Arnette,2,0,0,0,0,0,0,0,0,0,114,3.7,1.0,1.2,-,-,-,36.5,76.0,-,-,7.7,0.1
Bob Arnzen,3,0,0,0,0,0,0,0,0,0,111,4.0,2.0,0.3,0.1,0.2,0.0,46.5,80.0,20.0,46.6,13.6,1.4
