,Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
968,Eric Dawson,5,0,0,0,0,0,0,0,0,0,4,3.8,2.5,0.0,0.5,0.3,0.0,15,10.0,0,2,1,0,58.3,50.0,,58.3,102,104,0.0,-5.9,14.6,0.1
969,Jimmy Dawson,1,0,0,0,0,0,0,0,0,0,21,5.6,1.0,1.5,,,0.0,118,21.0,32,,,1,34.6,58.1,14.3,35.0,,,,,9.4,-0.3
970,Tony Dawson,3,0,0,0,0,0,0,0,0,0,6,2.8,0.8,0.2,0.0,0.0,0.3,17,5.0,1,0,0,2,46.7,100.0,50.0,53.3,115,97,-0.1,-9.1,11.6,0.0
971,Todd Day,2,0,0,0,0,0,0,0,0,0,483,12.3,3.4,1.5,0.6,1.1,1.2,5917,1649.0,713,291,532,568,40.6,73.9,34.5,46.2,109,104,2.8,-1.1,14.1,17.5
972,Austin Daye,3,0,0,0,0,0,0,0,0,0,293,5.2,2.6,0.7,0.4,0.4,0.6,1522,764.0,212,117,116,188,40.2,77.8,35.1,46.9,107,99,-0.6,-2.6,11.6,4.5
973,Darren Daye,3,0,0,0,0,0,0,0,0,0,328,6.8,2.6,2.0,0.2,0.6,0.0,2225,844.0,672,53,191,2,49.1,68.1,11.8,49.1,107,104,1.6,-0.8,13.9,9.3
974,Nando De Colo,2,0,0,0,0,0,0,0,0,0,119,3.8,1.8,1.7,0.1,0.5,0.4,453,211.0,203,12,63,49,42.9,83.5,36.3,49.1,102,99,0.4,-0.8,11.8,2.4
975,Greg Deane,2,0,0,0,0,0,0,0,0,0,7,1.4,0.9,0.9,0.0,0.0,0.1,10,6.0,6,0,0,1,18.2,71.4,100.0,22.7,116,84,-0.1,-9.7,4.5,-0.1
976,Billy DeAngelis,1,0,0,0,0,0,0,0,0,0,8,1.3,0.8,1.0,,,0.0,10,6.0,8,,,0,50.0,66.7,,50.0,,,,,3.1,0.1
977,Dave DeBusschere,4,0,1,8,1,6,0,0,0,0,875,16.1,11.0,2.9,0.5,0.9,,14053,9618.0,2497,39,67,,43.2,69.9,,,93,,2.5,1.7,15.5,60.8
978,Andrew DeClercq,5,0,0,0,0,0,0,0,0,0,587,4.8,4.2,0.6,0.5,0.7,0.0,2815,2488.0,339,301,390,0,50.7,62.1,0.0,50.7,104,105,2.4,-1.0,12.1,19.3
979,Dewayne Dedmon,5,1,0,0,0,0,0,0,0,0,313,5.8,5.9,0.6,0.8,0.5,0.2,1819,1835.0,195,258,153,73,54.0,71.2,34.6,56.7,104,112,1.9,-0.6,15.0,14.8
980,Don Dee,4,0,0,0,0,0,0,0,0,0,58,5.7,5.0,0.6,,,0.0,332,292.0,33,,,0,35.7,74.7,0.0,35.7,,,,,7.0,-0.3
981,Archie Dees,5,0,0,0,0,0,0,0,0,0,190,8.1,4.8,0.7,,,,1548,907.0,132,,,,40.2,79.4,,,,,,,13.7,4.8
982,Terry Dehere,2,0,0,0,0,0,0,0,0,0,402,8.0,1.5,2.6,0.1,0.5,0.8,3235,588.0,1034,36,213,328,41.1,77.9,37.8,47.3,113,103,-2.6,-3.4,12.7,7.3
983,Red Dehnert,4,0,0,0,0,0,0,0,0,0,10,1.4,,0.0,,,,14,,0,,,,40.0,33.3,,,,,,,,0.1
984,Bryce Dejean-Jones,2,0,0,0,0,0,0,0,0,0,14,5.6,3.4,1.1,0.1,0.7,0.9,79,48.0,15,2,10,12,40.6,52.4,37.5,49.3,110,99,0.0,-2.6,9.6,0.2
985,Sam Dekker,3,1,0,0,0,0,0,0,0,0,170,5.4,3.0,0.8,0.2,0.5,0.4,922,513.0,129,32,83,76,48.7,61.8,28.4,53.5,111,112,0.2,-1.7,12.9,4.9
986,Vinny Del Negro,2,0,0,0,0,0,0,0,0,0,771,9.1,2.3,3.2,0.1,0.7,0.3,7038,1810.0,2484,65,576,243,47.5,84.0,35.9,49.5,109,111,4.5,-1.1,13.5,40.6
987,Malcolm Delaney,1,0,0,0,0,0,0,0,0,0,127,5.7,1.8,2.8,0.1,0.6,0.6,729,223.0,356,7,74,72,37.7,80.5,30.8,43.1,111,97,-1.6,-4.9,8.9,1.1
988,Bison Dele,5,0,0,0,0,0,0,0,0,0,413,11.0,6.2,1.1,0.9,0.8,0.0,4536,2564.0,440,355,320,2,52.8,69.1,14.3,52.8,103,105,4.4,-0.3,16.5,22.8
989,Carlos Delfino,3,0,0,0,0,0,0,0,0,0,507,8.1,3.6,1.7,0.2,0.9,1.3,4115,1815.0,887,88,461,678,40.1,75.8,36.5,49.4,104,104,8.1,0.8,12.6,22.5
990,Tony Delk,2,0,0,0,0,0,0,0,0,0,545,9.1,2.5,1.9,0.1,0.8,0.9,4957,1351.0,1024,77,447,472,40.8,76.9,34.3,45.9,105,102,2.1,-1.3,13.7,19.5
991,Matthew Dellavedova,1,1,0,0,0,0,0,0,0,0,349,5.9,1.9,3.7,0.0,0.5,1.0,2067,648.0,1292,16,173,348,39.4,84.4,38.9,48.6,111,107,-2.3,-3.2,10.0,10.0
992,Nate DeLong,5,0,0,0,0,0,0,0,0,0,17,3.8,1.8,0.8,,,,64,31.0,14,,,,47.6,68.6,,,,,,,21.1,0.8
993,Fennis Dembo,3,0,0,0,0,0,0,0,0,0,31,1.2,0.7,0.2,0.0,0.0,0.0,36,23.0,5,0,1,0,33.3,80.0,0.0,33.3,104,86,-0.1,-8.8,7.8,-0.1
994,Larry Demic,4,0,0,0,0,0,0,0,0,0,206,4.7,3.9,0.5,0.2,0.3,0.0,976,805.0,106,49,72,0,45.9,58.0,0.0,45.9,108,94,-2.1,-4.6,8.1,1.4
995,Dell Demps,1,0,0,0,0,0,0,0,0,0,20,3.0,0.5,0.5,0.1,0.3,0.1,59,9.0,9,1,6,1,50.0,76.2,33.3,51.2,105,98,-0.1,-4.4,14.4,0.1
996,George Dempsey,1,0,0,0,0,0,0,0,0,0,315,5.0,3.6,2.3,,,,1574,1125.0,711,,,,40.7,66.1,,,,,,,12.3,10.8
997,Luol Deng,4,1,0,2,0,1,0,0,0,0,884,15.0,6.1,2.3,0.5,1.0,0.7,13216,5407.0,2025,437,868,644,45.5,77.0,33.1,48.4,105,107,22.5,0.9,15.4,73.2
998,Kenny Dennard,4,0,0,0,0,0,0,0,0,0,95,2.8,3.0,1.0,0.2,0.8,0.0,268,286.0,93,17,74,3,42.9,64.4,30.0,43.5,106,98,0.5,-0.4,9.3,1.4
999,Blaine Denning,1,0,0,0,0,0,0,0,0,0,1,5.0,4.0,0.0,,,,5,4.0,0,,,,40.0,100.0,,,,,,,18.9,0.0
1000,Justin Dentmon,1,0,0,0,0,0,0,0,0,0,8,3.3,1.0,1.3,0.0,0.3,0.3,26,8.0,10,0,2,2,33.3,66.7,14.3,36.7,108,78,-0.1,-7.7,3.8,-0.1
1001,Randy Denton,5,0,0,0,0,0,0,0,0,0,413,11.5,8.6,1.3,0.5,0.5,0.0,4749,3547.0,528,126,135,3,47.3,77.9,21.4,47.3,104,107,4.0,-0.9,17.3,20.2
1002,Joe DePre,2,0,0,0,0,0,0,0,0,0,119,7.0,1.9,1.6,,,0.0,830,226.0,185,,,2,47.7,73.5,20.0,47.8,,,,,7.6,3.0
1003,Rod Derline,2,0,0,0,0,0,0,0,0,0,107,4.8,0.8,0.7,0.0,0.3,,518,86.0,71,5,34,,41.9,78.6,,,102,,-1.2,-6.6,12.7,0.8
1004,DeMar DeRozan,2,1,0,4,2,0,0,0,0,0,710,19.9,4.1,3.2,0.3,1.0,0.5,14112,2937.0,2296,202,687,332,45.0,82.8,28.4,46.5,110,109,9.3,-0.5,17.9,57.5
1005,Marcus Derrickson,3,1,0,0,0,0,0,0,0,0,4,1.3,0.5,0.0,0.0,0.0,0.3,5,2.0,0,0,0,1,33.3,,33.3,41.7,116,60,-0.1,-16.3,-5.7,-0.1
1006,Dave Deutsch,1,0,0,0,0,0,0,0,0,0,19,1.1,1.1,0.8,,,,21,21.0,15,,,,16.7,45.0,,,,,,,2.4,-0.5
1007,Corky Devlin,2,0,0,0,0,0,0,0,0,0,210,7.1,2.1,2.1,,,,1496,449.0,446,,,,36.6,74.2,,,,,,,11.7,3.8
1008,Hank DeZonie,5,0,0,0,0,0,0,0,0,0,5,3.4,3.6,1.8,,,,17,18.0,9,,,,24.0,71.4,,,,,,,,-0.1
1009,Derrick Dial,2,0,0,0,0,0,0,0,0,0,82,3.1,1.6,0.8,0.1,0.3,0.1,253,133.0,63,11,21,8,37.2,67.2,19.0,38.6,101,92,-0.3,-3.5,12.2,0.6
1010,Cheick Diallo,4,1,0,0,0,0,0,0,0,0,94,4.6,4.0,0.3,0.4,0.3,0.0,431,374.0,32,41,26,0,55.2,75.7,0.0,55.2,105,114,-0.3,-3.1,16.7,2.9
1011,Hamidou Diallo,2,1,0,0,0,0,0,0,0,0,27,5.6,2.5,0.4,0.3,0.6,0.1,151,68.0,11,9,15,4,50.4,64.3,22.2,52.1,104,111,0.0,-2.1,14.3,0.9
1012,Boris Diaw,2,0,0,0,0,0,0,0,0,0,1064,8.6,4.4,3.5,0.5,0.6,0.4,9139,4634.0,3684,510,648,475,49.3,71.7,33.6,52.4,107,106,19.5,0.7,12.9,51.6
1013,Yakhouba Diawara,3,0,0,0,0,0,0,0,0,0,187,3.5,1.4,0.7,0.1,0.3,0.7,655,258.0,122,16,52,122,35.7,65.0,30.1,45.0,111,99,-1.1,-3.6,6.1,1.7
1014,Guillermo Diaz,2,0,0,0,0,0,0,0,0,0,6,0.8,0.3,0.2,0.0,0.0,0.0,5,2.0,1,0,0,0,25.0,60.0,0.0,25.0,118,108,0.0,-5.9,9.9,0.0
1015,Dan Dickau,1,0,0,0,0,0,0,0,0,0,300,5.8,1.4,2.5,0.0,0.5,0.6,1745,405.0,752,11,164,179,40.1,83.1,34.1,46.0,110,103,-0.4,-2.3,12.9,5.9
1016,Kaniel Dickens,4,0,0,0,0,0,0,0,0,0,19,1.2,0.6,0.1,0.1,0.1,0.2,22,12.0,2,2,2,3,40.0,75.0,33.3,47.5,106,98,-0.1,-5.0,9.0,0.1
1017,Henry Dickerson,2,0,0,0,0,0,0,0,0,0,23,2.0,0.2,0.8,0.0,0.1,,45,5.0,19,1,3,,36.6,62.5,,,107,,-0.3,-8.6,6.0,-0.2
1018,Michael Dickerson,2,0,0,0,0,0,0,0,0,0,212,15.4,2.9,2.6,0.4,1.0,1.4,3257,609.0,553,85,213,288,43.2,78.4,40.2,48.3,109,103,1.6,-1.2,13.4,9.6
1019,Clyde Dickey,2,0,0,0,0,0,0,0,0,0,58,2.8,1.1,0.8,0.0,0.2,0.0,160,61.0,47,0,14,2,35.0,76.2,13.3,35.5,106,78,-0.7,-7.8,5.5,-0.8
1020,Derrek Dickey,4,0,0,0,0,0,0,0,0,0,321,6.1,4.9,1.1,0.2,0.4,,1962,1575.0,346,60,129,,47.0,74.5,,,98,92,-0.1,-2.1,13.2,11.1
1021,Dick Dickey,1,0,0,0,0,0,0,0,0,0,45,2.8,1.8,1.1,,,,127,81.0,50,,,,29.4,68.1,,,,,,,9.6,0.3
1022,John Dickson,5,0,0,0,0,0,0,0,0,0,21,1.7,1.6,0.1,,,0.0,36,33.0,3,,,0,35.9,61.5,,35.9,,,,,8.2,0.0
1023,Travis Diener,1,0,0,0,0,0,0,0,0,0,179,4.8,1.4,2.4,0.1,0.4,0.9,854,243.0,432,9,76,164,38.8,84.7,35.3,49.5,111,114,0.1,-1.8,12.5,5.6
1024,Gorgui Dieng,4,1,0,0,0,0,0,0,0,0,410,8.1,6.4,1.4,1.0,0.8,0.1,3309,2639.0,584,428,345,49,50.5,78.8,31.6,51.5,107,112,8.7,1.6,15.9,22.6
1025,Connie Dierking,5,0,0,0,0,0,0,0,0,0,706,10.0,6.7,1.5,,,,7094,4757.0,1053,,,,41.7,69.7,,,,,,,13.4,13.3
1026,Coby Dietrick,5,0,0,0,0,0,0,0,0,0,842,6.1,4.5,2.1,0.6,0.9,0.0,5140,3772.0,1740,520,666,6,46.2,73.5,19.4,46.3,102,103,10.8,0.9,12.6,27.7
1027,Ernie DiGregorio,1,0,0,0,0,0,0,1,0,0,312,9.6,2.0,5.1,0.0,0.6,,2997,610.0,1594,14,190,,41.5,90.2,,,104,82,-5.0,-4.5,12.2,2.5
1028,Craig Dill,5,0,0,0,0,0,0,0,0,0,65,6.8,5.8,0.5,,,0.0,445,378.0,31,,,0,38.3,67.0,0.0,38.3,,,,,9.6,0.4
1029,Dwaine Dillard,4,0,0,0,0,0,0,0,0,0,3,1.3,3.0,0.7,0.7,0.7,0.0,4,9.0,2,2,2,0,33.3,100.0,,33.3,91,63,0.0,1.7,7.2,0.0
1030,Mickey Dillard,1,0,0,0,0,0,0,0,0,0,33,2.2,0.5,1.0,0.1,0.2,0.0,73,15.0,34,2,8,0,36.7,65.2,0.0,36.7,114,88,-0.3,-7.4,7.0,-0.2
1031,Bob Dille,4,0,0,0,0,0,0,0,0,0,57,5.2,,0.7,,,,296,,40,,,,19.7,66.7,,,,,,,,-0.9
1032,Hook Dillon,4,0,0,0,0,0,0,0,0,0,22,1.6,,0.2,,,,36,,5,,,,18.2,72.7,,,,,,,,-0.4
1033,Byron Dinkins,1,0,0,0,0,0,0,0,0,0,45,3.4,1.2,2.1,0.0,0.5,0.0,151,52.0,94,2,21,1,40.6,87.2,11.1,40.9,106,93,-0.4,-5.2,9.1,0.3
1034,Jackie Dinkins,3,0,0,0,0,0,0,0,0,0,18,2.5,1.1,0.4,,,,45,20.0,7,,,,41.5,55.0,,,,,,,13.7,0.1
1035,Harry Dinnel,3,0,0,0,0,0,0,0,0,0,11,1.7,2.1,0.5,,,0.0,19,23.0,5,,,0,31.6,87.5,,31.6,,,,,4.5,0.0
1036,Bill Dinwiddie,3,0,0,0,0,0,0,0,0,0,220,4.4,3.3,0.6,,,,974,720.0,129,,,,36.9,61.0,,,,,,,8.2,-2.2
1037,Spencer Dinwiddie,1,1,0,0,0,0,0,0,0,0,221,10.4,2.6,4.6,0.3,0.7,1.2,2295,579.0,1025,62,155,268,40.8,79.4,33.0,48.2,112,114,2.2,-0.4,15.1,12.1
1038,Ike Diogu,4,0,0,0,0,0,0,0,0,0,225,6.0,3.1,0.3,0.3,0.2,0.0,1348,689.0,69,65,36,1,50.9,78.6,50.0,51.0,108,110,-2.0,-4.8,15.6,6.5
1039,DeSagana Diop,5,0,0,0,0,0,0,0,0,0,601,2.0,3.7,0.4,1.0,0.4,0.0,1185,2219.0,270,630,227,1,42.7,46.7,16.7,42.8,102,97,4.3,0.0,9.8,12.8
1040,Terry Dischinger,2,0,0,3,0,0,0,0,0,0,652,13.8,5.6,1.8,,,,9012,3646.0,1151,,,,50.6,75.8,,,,,,,16.3,56.3
1041,Fred Diute,2,0,0,0,0,0,0,0,0,0,7,1.6,1.9,0.6,,,,11,13.0,4,,,,9.5,58.3,,,,,,,-2.3,-0.3
1042,Vlade Divac,5,0,0,1,0,0,0,0,0,0,1134,11.8,8.2,3.1,1.4,1.1,0.1,13398,9326.0,3541,1631,1288,100,49.5,69.2,23.5,50.0,101,108,45.3,3.3,17.7,96.4
1043,Donte DiVincenzo,2,1,0,0,0,0,0,0,0,0,22,5.0,2.5,1.2,0.2,0.5,0.8,110,56.0,26,5,12,17,39.3,81.8,24.6,47.2,106,99,0.0,-1.7,8.7,0.4
1044,Juan Dixon,2,0,0,0,0,0,0,0,0,0,436,8.4,1.9,1.8,0.1,0.8,0.8,3678,816.0,775,34,341,331,41.3,83.3,34.1,46.1,110,99,-2.1,-3.0,12.8,6.1
1045,Aleksandar Djordjevic,2,0,0,0,0,0,0,0,0,0,8,3.1,0.6,0.6,0.0,0.0,0.6,25,5.0,5,0,0,5,50.0,80.0,71.4,65.6,111,116,0.0,-3.8,12.5,0.1
1046,Earl Dodd,4,0,0,0,0,0,0,0,0,0,9,1.7,,0.7,,,,15,,6,,,,22.2,60.0,,,,,,,,-0.3
1047,Michael Doleac,5,0,0,0,0,0,0,0,0,0,587,4.9,3.3,0.6,0.4,0.3,0.0,2882,1955.0,343,209,200,1,43.9,79.1,12.5,43.9,103,98,-3.8,-3.7,10.8,12.7
1048,Joe Dolhon,1,0,0,0,0,0,0,0,0,0,77,6.4,1.4,2.3,,,,494,18.0,174,,,,31.1,73.4,,,,,,,,3.1
1049,Bob Doll,4,0,0,0,0,0,0,0,0,0,196,8.4,,1.4,,,,1653,,273,,,,28.6,66.2,,,,,,,,10.2
1050,James Donaldson,5,0,0,1,0,0,0,0,0,0,957,8.6,7.8,0.8,1.3,0.4,0.0,8203,7492.0,765,1267,336,0,57.1,73.2,,57.1,106,114,13.2,0.0,13.8,62.3
1051,Luka Doncic,4,1,0,0,0,0,0,0,0,0,32,19.0,6.7,5.1,0.3,1.1,2.1,609,215.0,163,10,36,68,42.9,77.0,35.4,50.2,109,107,1.1,2.2,17.7,2.2
1052,Bob Donham,2,0,0,0,0,0,0,0,0,0,273,6.7,3.9,2.6,,,,1818,1071.0,706,,,,48.0,50.7,,,,,,,14.1,18.0
1053,Billy Donovan,1,0,0,0,0,0,0,0,0,0,44,2.4,0.6,2.0,0.0,0.4,0.0,105,25.0,87,1,16,0,40.4,81.0,0.0,40.4,109,90,-0.5,-7.4,8.7,-0.1
1054,Harry Donovan,1,0,0,0,0,0,0,0,0,0,45,5.6,,0.8,,,,253,,38,,,,32.7,68.9,,,,,,,,1.0
1055,Keyon Dooling,1,0,0,0,0,0,0,0,0,0,728,7.0,1.3,2.2,0.1,0.6,0.6,5067,964.0,1601,75,463,446,41.6,79.9,34.9,46.7,109,103,-3.6,-3.0,11.5,18.5
1056,Jacky Dorsey,3,0,0,0,0,0,0,0,0,0,60,2.4,2.4,0.3,0.1,0.2,0.0,143,141.0,16,6,12,0,38.9,54.4,,38.9,102,90,-0.5,-6.2,8.4,0.3
1057,Joey Dorsey,4,0,0,0,0,0,0,0,0,0,130,2.6,3.9,0.4,0.3,0.5,0.0,344,513.0,55,44,67,0,53.4,37.5,0.0,53.4,103,103,0.3,-1.3,12.1,2.9
1058,Ron Dorsey,4,0,0,0,0,0,0,0,0,0,1,4.0,5.0,0.0,,,0.0,4,5.0,0,,,0,25.0,0.0,0.0,25.0,,,,,-3.0,-0.1
1059,Tyler Dorsey,2,1,0,0,0,0,0,0,0,0,72,6.5,2.2,1.3,0.1,0.3,1.1,468,161.0,93,5,21,77,37.4,67.9,34.5,46.1,114,99,-0.8,-4.8,9.6,0.3
1060,Damyean Dotson,2,1,0,0,0,0,0,0,0,0,70,6.5,2.7,0.8,0.1,0.5,0.8,455,186.0,58,6,34,59,45.7,69.6,34.7,53.1,114,108,-0.1,-2.4,12.2,1.4
1061,Quincy Douby,1,0,0,0,0,0,0,0,0,0,143,4.1,1.1,0.7,0.1,0.3,0.5,588,152.0,93,21,50,68,38.9,88.4,31.2,44.8,112,95,-1.3,-5.4,9.7,0.0
1062,Bruce Douglas,2,0,0,0,0,0,0,0,0,0,8,1.8,1.8,2.1,0.0,1.1,0.0,14,14.0,17,0,9,0,29.2,0.0,0.0,29.2,108,69,-0.1,-4.3,5.7,-0.2
1063,John Douglas,2,0,0,0,0,0,0,0,0,0,67,6.7,1.4,2.2,0.1,0.7,0.3,452,91.0,147,9,48,19,46.1,66.3,31.1,48.5,114,101,-0.4,-3.4,12.0,0.5
1064,Leon Douglas,5,0,0,0,0,0,0,0,0,0,456,7.9,6.5,1.1,0.7,0.5,0.0,3587,2954.0,479,325,210,0,49.5,60.1,0.0,49.5,104,101,1.1,-1.6,11.9,15.2
1065,Sherman Douglas,1,0,0,0,0,0,0,0,0,0,765,11.0,2.2,5.9,0.1,1.0,0.2,8425,1672.0,4536,76,785,154,48.4,67.8,26.7,49.5,111,107,2.6,-1.5,15.1,32.9
1066,Toney Douglas,1,0,0,0,0,0,0,0,0,0,394,7.6,2.2,2.3,0.1,0.9,1.1,3009,875.0,889,30,349,444,40.4,82.4,35.4,48.6,109,105,2.6,-0.6,13.2,12.1
1067,Chris Douglas-Roberts,3,0,0,0,0,0,0,0,0,0,222,7.1,2.1,1.1,0.2,0.6,0.4,1571,472.0,254,55,128,84,43.9,83.1,32.9,47.1,109,103,-1.0,-2.9,11.5,5.4
1068,Sonny Dove,4,0,0,0,0,0,0,0,0,0,222,11.1,6.0,1.0,,,0.0,2458,1334.0,219,,,6,45.7,64.7,22.2,45.9,,,,,14.0,7.2
1069,Jerry Dover,1,0,0,0,0,0,0,0,0,0,4,2.0,0.0,0.3,,,0.5,8,0.0,1,,,2,33.3,,40.0,44.4,,,,,10.1,0.0
1070,Zabian Dowdell,1,0,0,0,0,0,0,0,0,0,24,5.0,0.8,2.1,0.1,0.8,0.1,121,20.0,51,2,20,3,40.8,94.1,30.0,42.0,109,91,-0.2,-4.6,11.7,-0.1
1071,Bill Downey,5,0,0,0,0,0,0,0,0,0,3,0.0,,0.0,,,,0,,0,,,,0.0,,,,,,,,,-0.1
1072,Steve Downing,5,0,0,0,0,0,0,0,0,0,27,2.4,1.5,0.4,0.0,0.2,,64,41.0,11,0,5,,31.8,55.0,,,94,,-0.2,-7.3,9.2,-0.2
1073,Danny Doyle,4,0,0,0,0,0,0,0,0,0,4,4.0,2.0,0.8,,,,16,8.0,3,,,,50.0,80.0,,,,,,,22.2,0.1
1074,Milton Doyle,2,0,0,0,0,0,0,0,0,0,10,3.4,1.8,1.0,0.2,0.6,0.4,34,18.0,10,2,6,4,27.7,50.0,17.4,31.9,109,81,-0.1,-5.8,5.2,-0.1
1075,PJ Dozier,1,1,0,0,0,0,0,0,0,0,4,2.3,1.3,0.0,0.0,0.0,0.3,9,5.0,0,0,0,1,50.0,,50.0,56.3,107,103,0.0,-16.6,21.6,0.0
1076,Terry Dozier,3,0,0,0,0,0,0,0,0,0,9,2.4,1.7,0.3,0.2,0.7,0.0,22,15.0,3,2,6,0,33.3,50.0,0.0,33.3,108,73,-0.1,-6.0,5.1,-0.2
1077,Goran Dragic,2,1,0,1,1,0,0,0,0,0,736,13.8,3.1,4.8,0.2,1.0,1.1,10141,2247.0,3542,140,751,832,46.7,76.2,36.2,51.9,109,110,16.5,1.2,17.2,49.9
1078,Zoran Dragic,2,0,0,0,0,0,0,0,0,0,16,1.8,0.5,0.3,0.0,0.1,0.2,28,8.0,5,0,2,3,36.7,60.0,21.4,41.7,112,89,-0.1,-6.5,8.2,-0.1
1079,Greg Dreiling,5,0,0,0,0,0,0,0,0,0,474,2.1,2.1,0.4,0.3,0.2,0.0,1014,1018.0,186,137,82,3,46.7,64.9,33.3,46.9,108,99,-2.3,-4.1,7.4,4.0
1080,Bryce Drew,1,0,0,0,0,0,0,0,0,0,243,4.4,1.2,2.2,0.0,0.5,0.6,1081,295.0,524,10,123,150,38.2,83.0,37.1,45.1,109,98,-2.6,-4.6,9.6,2.4
1081,John Drew,4,0,0,2,0,0,0,0,0,0,739,20.7,6.9,1.7,0.3,1.4,0.0,15291,5088.0,1224,193,1004,10,47.0,74.8,17.5,47.1,102,107,17.7,1.2,20.7,68.9
1082,Larry Drew,1,0,0,0,0,0,0,0,0,0,714,11.4,1.8,5.2,0.1,1.1,0.2,8110,1265.0,3702,45,791,118,46.7,79.8,29.1,47.5,110,104,-2.0,-2.4,14.0,24.4
1083,Larry Drew II,1,0,0,0,0,0,0,0,0,0,22,2.9,0.8,2.5,0.0,0.3,0.3,63,18.0,55,0,6,7,32.9,66.7,20.0,37.2,112,79,-0.7,-11.3,4.1,-0.5
1084,Clyde Drexler,2,0,1,10,5,0,0,0,0,0,1086,20.4,6.1,5.6,0.7,2.0,0.8,22195,6677.0,6125,719,2207,827,47.2,78.8,31.8,49.5,105,114,75.6,6.0,21.1,135.6
1085,Nate Driggers,2,0,0,0,0,0,0,0,0,0,15,2.4,1.5,0.4,0.1,0.2,0.0,36,22.0,6,2,3,0,30.2,71.4,0.0,30.2,115,86,-0.2,-8.2,6.8,-0.2
1086,Terry Driscoll,5,0,0,0,0,0,0,0,0,0,274,4.1,4.1,0.8,0.2,0.3,0.0,1127,1114.0,221,22,31,0,41.9,69.4,,41.9,98,92,-0.1,-2.5,10.9,5.1
1087,Predrag Drobnjak,5,0,0,0,0,0,0,0,0,0,278,7.9,3.5,0.8,0.4,0.5,0.2,2187,973.0,225,117,132,66,42.5,79.9,34.0,44.0,108,99,-3.1,-4.2,12.6,5.6
1088,Ralph Drollinger,5,0,0,0,0,0,0,0,0,0,6,2.5,3.2,2.3,0.3,0.2,0.0,15,19.0,14,2,1,0,50.0,25.0,,50.0,108,73,-0.1,-6.4,5.3,-0.2
1089,Andre Drummond,5,1,0,2,1,0,0,0,2,0,495,13.9,13.5,1.1,1.6,1.3,0.0,6856,6684.0,556,769,638,9,54.1,42.9,17.0,54.2,100,109,13.6,1.6,21.8,49.5
1090,Dick Duckett,1,0,0,0,0,0,0,0,0,0,34,3.9,1.6,1.4,,,,132,56.0,47,,,,34.2,88.9,,,,,,,8.0,0.2
1091,Kevin Duckworth,5,0,0,2,0,0,0,0,0,0,684,11.8,5.8,0.9,0.5,0.5,0.0,8085,3945.0,598,316,329,5,46.8,73.6,20.8,46.8,108,103,-7.4,-3.7,11.9,24.7
1092,Charles Dudley,1,0,0,0,0,0,0,0,0,0,361,5.3,3.0,3.4,0.0,0.8,,1908,1089.0,1230,13,284,,49.7,67.2,,,100,99,4.2,0.6,14.0,14.0
1093,Chris Dudley,4,0,0,0,0,0,0,0,0,0,886,3.9,6.2,0.4,1.2,0.4,0.0,3473,5457.0,375,1027,334,0,41.2,45.8,0.0,41.2,102,98,0.6,-1.9,10.7,26.2
1094,Jared Dudley,2,1,0,0,0,0,0,0,0,0,824,7.8,3.3,1.6,0.2,0.8,1.0,6464,2722.0,1335,157,679,844,46.5,73.1,39.3,54.9,110,114,15.0,1.1,12.8,41.3
1095,Terry Duerod,3,0,0,0,0,0,0,0,0,0,143,6.7,1.1,1.2,0.1,0.4,0.2,961,160.0,170,17,63,23,46.2,67.2,32.9,47.5,112,99,-1.5,-4.9,12.1,1.0
1096,Bob Duffy,4,0,0,0,0,0,0,0,0,0,17,1.1,,0.0,,,,19,,0,,,,21.9,71.4,,,,,,,,0.0
1097,Bob Duffy,1,0,0,0,0,0,0,0,0,0,94,4.3,1.1,1.8,,,,400,104.0,167,,,,39.6,64.9,,,,,,,10.8,0.5
1098,Chris Duhon,1,0,0,0,0,0,0,0,0,0,606,6.5,2.3,4.4,0.1,0.8,1.1,3946,1364.0,2690,36,471,649,39.3,78.4,36.3,48.8,108,107,2.0,-1.5,10.8,25.0
1099,Duje Dukan,3,0,0,0,0,0,0,0,0,0,1,6.0,4.0,1.0,0.0,1.0,2.0,6,4.0,1,0,1,2,20.0,,40.0,30.0,111,82,0.0,-6.7,4.2,0.0
1100,Walter Dukes,5,0,0,2,0,0,0,0,0,0,553,10.4,11.3,1.1,,,,5765,6223.0,608,,,,36.9,70.0,,,,,,,14.4,24.0
1101,Joe Dumars,2,0,1,6,3,5,0,0,0,0,1018,16.1,2.2,4.5,0.1,0.9,1.0,16401,2203.0,4612,83,902,990,46.0,84.3,38.2,49.8,110,113,19.3,0.2,15.3,86.2
1102,Rich Dumas,1,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0.0,,,0.0,2,1.0,0,,,0,20.0,,,20.0,,,,,-19.4,-0.1
1103,Richard Dumas,4,0,0,0,0,0,0,0,0,0,102,10.6,3.4,1.1,0.5,1.3,0.0,1080,351.0,111,47,137,3,50.9,69.4,23.1,51.1,108,107,1.0,-0.3,15.9,4.5
