,Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
26,Jeff Adrien,4,0,0,0,0,0,0,0,0,0,153,4.6,4.3,0.7,0.5,0.3,0.0,709,659.0,100,79,50,0,47.4,62.8,0.0,47.4,108,109,-0.3,-2.5,15.0,4.4
27,Arron Afflalo,2,0,0,0,0,0,0,0,0,0,762,10.8,2.9,1.8,0.2,0.4,1.1,8198,2176.0,1386,141,341,852,45.0,82.5,38.6,51.4,112,109,4.5,-1.1,11.9,33.5
28,Maurice Ager,2,0,0,0,0,0,0,0,0,0,82,2.1,0.6,0.2,0.1,0.1,0.1,169,46.0,19,6,6,11,33.9,56.6,25.0,36.8,111,79,-1.1,-10.4,2.8,-0.9
29,Mark Aguirre,3,0,0,3,0,0,0,0,0,0,923,20.0,5.0,3.1,0.3,0.7,0.4,18458,4578.0,2871,296,687,392,48.4,74.1,31.2,49.8,110,109,22.7,1.3,19.0,67.8
30,Blake Ahearn,1,0,0,0,0,0,0,0,0,0,19,4.6,1.2,1.2,0.0,0.4,0.7,88,22.0,22,0,7,14,27.3,97.0,29.8,36.4,111,89,-0.3,-6.6,7.2,-0.2
31,Danny Ainge,1,0,0,1,0,0,0,0,0,0,1042,11.5,2.7,4.0,0.1,1.1,1.0,11964,2768.0,4199,132,1133,1002,46.9,84.6,37.8,51.9,108,114,23.0,1.3,14.7,71.5
32,Matthew Aitch,4,0,0,0,0,0,0,0,0,0,45,5.6,3.6,0.4,,,0.0,252,160.0,18,,,0,40.5,67.5,0.0,40.5,,,,,11.9,0.5
33,Alexis Ajinca,4,0,0,0,0,0,0,0,0,0,293,5.3,3.9,0.5,0.6,0.3,0.0,1553,1150.0,143,181,102,12,50.3,79.7,28.6,50.7,106,104,-0.5,-2.5,14.9,7.5
34,Henry Akin,4,0,0,0,0,0,0,0,0,0,88,3.5,2.1,0.5,,,0.0,308,181.0,40,,,0,35.0,67.6,0.0,35.0,,,,,7.4,-1.2
35,Josh Akognon,1,0,0,0,0,0,0,0,0,0,3,1.7,0.3,0.3,0.0,0.0,0.3,5,1.0,1,0,0,1,50.0,,50.0,62.5,111,130,0.0,-0.2,15.3,0.0
36,DeVaughn Akoon-Purcell,2,1,0,0,0,0,0,0,0,0,7,1.0,0.6,0.9,0.0,0.3,0.0,7,4.0,6,0,2,0,30.0,50.0,0.0,30.0,102,83,0.0,-2.9,8.6,0.0
37,Solomon Alabi,5,0,0,0,0,0,0,0,0,0,26,1.5,2.3,0.2,0.4,0.2,0.0,39,61.0,5,11,4,0,31.4,70.0,,31.4,103,85,-0.2,-5.4,10.3,0.0
38,Mark Alarie,4,0,0,0,0,0,0,0,0,0,325,7.5,3.4,1.1,0.3,0.4,0.1,2432,1120.0,363,109,132,34,47.5,77.5,25.2,48.3,110,106,-0.3,-2.2,13.0,8.4
39,Gary Alcorn,5,0,0,0,0,0,0,0,0,0,78,3.3,4.2,0.3,,,,261,329.0,24,,,,29.3,59.8,,,,,,,6.5,-1.3
40,Furkan Aldemir,4,0,0,0,0,0,0,0,0,0,41,2.3,4.3,0.7,0.4,0.4,0.0,93,176.0,28,16,17,0,51.3,48.1,0.0,51.3,104,117,0.2,-0.7,12.0,1.4
41,Cole Aldrich,5,0,0,0,0,0,0,0,0,0,339,3.1,3.3,0.5,0.7,0.4,0.0,1050,1131.0,183,233,137,0,52.7,73.8,,52.7,101,109,2.6,1.0,16.6,9.6
42,LaMarcus Aldridge,4,1,0,6,5,0,0,0,0,0,904,19.4,8.3,1.9,1.1,0.7,0.1,17531,7544.0,1737,957,671,113,48.9,80.7,28.4,49.3,106,112,26.2,1.3,20.7,100.5
43,Chuck Aleksinas,5,0,0,0,0,0,0,0,0,0,74,5.1,3.6,0.5,0.2,0.2,0.0,377,270.0,36,15,15,0,47.8,73.3,0.0,47.8,114,100,-1.1,-5.9,9.1,0.4
44,Cliff Alexander,4,0,0,0,0,0,0,0,0,0,8,1.3,0.8,0.0,0.3,0.1,0.0,10,6.0,0,2,1,0,50.0,,,50.0,107,100,0.0,-7.0,11.6,0.0
45,Cory Alexander,1,0,0,0,0,0,0,0,0,0,307,5.5,1.6,2.7,0.1,0.9,0.8,1677,481.0,834,37,263,237,38.9,75.6,35.4,46.8,108,96,-0.2,-2.2,12.4,3.0
46,Courtney Alexander,1,0,0,0,0,0,0,0,0,0,187,9.0,2.2,1.2,0.1,0.6,0.2,1690,409.0,227,18,111,41,42.2,81.3,33.9,43.5,108,99,-2.1,-4.0,11.5,4.1
47,Gary Alexander,4,0,0,0,0,0,0,0,0,0,11,1.7,1.4,0.2,0.0,0.3,0.0,19,15.0,2,0,3,0,57.1,33.3,,57.1,103,82,-0.1,-5.8,8.6,0.0
